0160188,アキタケン,ノシロシ,テラムカイ,秋田県,能代市,寺向
0180126,アキタケン,ニカホシ,キサカタマチ１チョウメシオコシ,秋田県,にかほ市,象潟町１丁目塩越
0180118,アキタケン,ニカホシ,キサカタマチ２チョウメシオコシ,秋田県,にかほ市,象潟町２丁目塩越
0180119,アキタケン,ニカホシ,キサカタマチ３チョウメシオコシ,秋田県,にかほ市,象潟町３丁目塩越
0180116,アキタケン,ニカホシ,キサカタマチ４チョウメシオコシ,秋田県,にかほ市,象潟町４丁目塩越
0180106,アキタケン,ニカホシ,キサカタマチ５チョウメシオコシ,秋田県,にかほ市,象潟町５丁目塩越
0180135,アキタケン,ニカホシ,キサカタマチアライガマ,秋田県,にかほ市,象潟町洗釜
0180107,アキタケン,ニカホシ,キサカタマチアラヤシタ,秋田県,にかほ市,象潟町荒屋下
0180105,アキタケン,ニカホシ,キサカタマチアラヤヅマ,秋田県,にかほ市,象潟町荒屋妻
0180112,アキタケン,ニカホシ,キサカタマチイエノウシロ,秋田県,にかほ市,象潟町家の後
0180108,アキタケン,ニカホシ,キサカタマチイリコノマ,秋田県,にかほ市,象潟町入湖の澗
0180115,アキタケン,ニカホシ,キサカタマチウシロダ,秋田県,にかほ市,象潟町後田
0180136,アキタケン,ニカホシ,キサカタマチオオサガワ,秋田県,にかほ市,象潟町大砂川
0180121,アキタケン,ニカホシ,キサカタマチオオシオコシ,秋田県,にかほ市,象潟町大塩越
0180142,アキタケン,ニカホシ,キサカタマチオオスゴウ,秋田県,にかほ市,象潟町大須郷
0180162,アキタケン,ニカホシ,キサカタマチオオモリ,秋田県,にかほ市,象潟町大森
0180131,アキタケン,ニカホシ,キサカタマチオオヤチ,秋田県,にかほ市,象潟町大谷地
0180114,アキタケン,ニカホシ,キサカタマチオキノタ,秋田県,にかほ市,象潟町沖の田
0180146,アキタケン,ニカホシ,キサカタマチカバヤチ,秋田県,にかほ市,象潟町蒲谷地
0180103,アキタケン,ニカホシ,キサカタマチカミキツネモリ,秋田県,にかほ市,象潟町上狐森
0180184,アキタケン,ニカホシ,キサカタマチカミコサカ,秋田県,にかほ市,象潟町上小坂
0180188,アキタケン,ニカホシ,キサカタマチカラスジマ,秋田県,にかほ市,象潟町烏島
0180141,アキタケン,ニカホシ,キサカタマチカワフクロ,秋田県,にかほ市,象潟町川袋
0180109,アキタケン,ニカホシ,キサカタマチカンムリイシシタ,秋田県,にかほ市,象潟町冠石下
0180122,アキタケン,ニカホシ,キサカタマチキサカタジマ,秋田県,にかほ市,象潟町象潟島
0180104,アキタケン,ニカホシ,キサカタマチキツネモリ,秋田県,にかほ市,象潟町狐森
0180102,アキタケン,ニカホシ,キサカタマチキドグチ,秋田県,にかほ市,象潟町木戸口
0180145,アキタケン,ニカホシ,キサカタマチゲンゾウガタ,秋田県,にかほ市,象潟町源蔵潟
0180187,アキタケン,ニカホシ,キサカタマチコガラスジマ,秋田県,にかほ市,象潟町小烏島
0180172,アキタケン,ニカホシ,キサカタマチコサイノカミ,秋田県,にかほ市,象潟町小才の神
0180183,アキタケン,ニカホシ,キサカタマチコサカ,秋田県,にかほ市,象潟町小坂
0180143,アキタケン,ニカホシ,キサカタマチコサガワ,秋田県,にかほ市,象潟町小砂川
0180153,アキタケン,ニカホシ,キサカタマチコダキ,秋田県,にかほ市,象潟町小滝
0180158,アキタケン,ニカホシ,キサカタマチコトワキ,秋田県,にかほ市,象潟町琴和喜
0180129,アキタケン,ニカホシ,キサカタマチサイノカミ,秋田県,にかほ市,象潟町才の神
0180175,アキタケン,ニカホシ,キサカタマチサカノシタ,秋田県,にかほ市,象潟町坂の下
0180148,アキタケン,ニカホシ,キサカタマチシモハマヤマ,秋田県,にかほ市,象潟町下浜山
0180181,アキタケン,ニカホシ,キサカタマチシラヤマドウ,秋田県,にかほ市,象潟町白山堂
0180133,アキタケン,ニカホシ,キサカタマチセキ,秋田県,にかほ市,象潟町関
0180161,アキタケン,ニカホシ,キサカタマチダイハンゴウ,秋田県,にかほ市,象潟町大飯郷
0180156,アキタケン,ニカホシ,キサカタマチダイモンザキ,秋田県,にかほ市,象潟町大門先
0180166,アキタケン,ニカホシ,キサカタマチタカダ,秋田県,にかほ市,象潟町高田
0180157,アキタケン,ニカホシ,キサカタマチタカハナシ,秋田県,にかほ市,象潟町鷹放
0180147,アキタケン,ニカホシ,キサカタマチタテイシ,秋田県,にかほ市,象潟町立石
0180165,アキタケン,ニカホシ,キサカタマチタヌキモリ,秋田県,にかほ市,象潟町狸森
0180167,アキタケン,ニカホシ,キサカタマチタノカミ,秋田県,にかほ市,象潟町田の神
0180128,アキタケン,ニカホシ,キサカタマチタロウジマ,秋田県,にかほ市,象潟町太郎島
0180171,アキタケン,ニカホシ,キサカタマチツヅキジマ,秋田県,にかほ市,象潟町続島
0180132,アキタケン,ニカホシ,キサカタマチトリノウミ,秋田県,にかほ市,象潟町鳥の海
0180163,アキタケン,ニカホシ,キサカタマチナガオカ,秋田県,にかほ市,象潟町長岡
0180127,アキタケン,ニカホシ,キサカタマチナカバシマチ,秋田県,にかほ市,象潟町中橋町
0180144,アキタケン,ニカホシ,キサカタマチナカヤチ,秋田県,にかほ市,象潟町中谷地
0180154,アキタケン,ニカホシ,キサカタマチニカイヤチ,秋田県,にかほ市,象潟町二階谷地
0180134,アキタケン,ニカホシ,キサカタマチニシナカノサワ,秋田県,にかほ市,象潟町西中野沢
0180125,アキタケン,ニカホシ,キサカタマチニノマル,秋田県,にかほ市,象潟町二の丸
0180124,アキタケン,ニカホシ,キサカタマチニュウドウジマ,秋田県,にかほ市,象潟町入道島
0180186,アキタケン,ニカホシ,キサカタマチノウインジマ,秋田県,にかほ市,象潟町能因島
0180113,アキタケン,ニカホシ,キサカタマチハマノタ,秋田県,にかほ市,象潟町浜の田
0180117,アキタケン,ニカホシ,キサカタマチハマハタ,秋田県,にかほ市,象潟町浜畑
0180101,アキタケン,ニカホシ,キサカタマチハマヤマ,秋田県,にかほ市,象潟町浜山
0180174,アキタケン,ニカホシ,キサカタマチハヤシノシタ,秋田県,にかほ市,象潟町林の下
0180182,アキタケン,ニカホシ,キサカタマチフドウサワ,秋田県,にかほ市,象潟町不動沢
0180111,アキタケン,ニカホシ,キサカタマチブドウジマ,秋田県,にかほ市,象潟町武道島
0180155,アキタケン,ニカホシ,キサカタマチベンテンジマ,秋田県,にかほ市,象潟町弁天島
0180152,アキタケン,ニカホシ,キサカタマチホンゴウ,秋田県,にかほ市,象潟町本郷
0180164,アキタケン,ニカホシ,キサカタマチマルヤマ,秋田県,にかほ市,象潟町丸山
0180123,アキタケン,ニカホシ,キサカタマチミョウケンシタ,秋田県,にかほ市,象潟町妙見下
0180185,アキタケン,ニカホシ,キサカタマチヤシキダ,秋田県,にかほ市,象潟町屋敷田
0180151,アキタケン,ニカホシ,キサカタマチヨコオカ,秋田県,にかほ市,象潟町横岡
0180176,アキタケン,ニカホシ,キサカタマチヨコヤマ,秋田県,にかほ市,象潟町横山
0180173,アキタケン,ニカホシ,キサカタマチヨスミイケ,秋田県,にかほ市,象潟町四隅池
