0580041,ホッカイドウ,ウラカワグンウラカワチョウ,ヒガシホロベツ（ソノタ）,北海道,浦河郡浦河町,東幌別（その他）
0580000,ホッカイドウ,サマニグンサマニチョウ,イカニケイサイガナイバアイ,北海道,様似郡様似町,以下に掲載がない場合
0580001,ホッカイドウ,サマニグンサマニチョウ,アサヒ,北海道,様似郡様似町,旭
0580012,ホッカイドウ,サマニグンサマニチョウ,アサヒオカ,北海道,様似郡様似町,朝日丘
0580033,ホッカイドウ,サマニグンサマニチョウ,ウトマ,北海道,様似郡様似町,鵜苫
0580022,ホッカイドウ,サマニグンサマニチョウ,オカダ,北海道,様似郡様似町,岡田
0580024,ホッカイドウ,サマニグンサマニチョウ,カイショマチ,北海道,様似郡様似町,会所町
0580014,ホッカイドウ,サマニグンサマニチョウ,オオドオリ,北海道,様似郡様似町,大通
0580023,ホッカイドウ,サマニグンサマニチョウ,サカエマチ,北海道,様似郡様似町,栄町
0580027,ホッカイドウ,サマニグンサマニチョウ,シオミダイ,北海道,様似郡様似町,潮見台
0580021,ホッカイドウ,サマニグンサマニチョウ,シントミ,北海道,様似郡様似町,新富
0580011,ホッカイドウ,サマニグンサマニチョウ,タシロ,北海道,様似郡様似町,田代
0580015,ホッカイドウ,サマニグンサマニチョウ,ニシキマチ,北海道,様似郡様似町,錦町
0580031,ホッカイドウ,サマニグンサマニチョウ,ニシサマニ,北海道,様似郡様似町,西様似
0580032,ホッカイドウ,サマニグンサマニチョウ,ニシマチ,北海道,様似郡様似町,西町
0580004,ホッカイドウ,サマニグンサマニチョウ,ヒラウ,北海道,様似郡様似町,平宇
0580003,ホッカイドウ,サマニグンサマニチョウ,フユシマ,北海道,様似郡様似町,冬島
0580002,ホッカイドウ,サマニグンサマニチョウ,ホロマン,北海道,様似郡様似町,幌満
0580026,ホッカイドウ,サマニグンサマニチョウ,ホンチョウ,北海道,様似郡様似町,本町
0580013,ホッカイドウ,サマニグンサマニチョウ,ミドリマチ,北海道,様似郡様似町,緑町
0580025,ホッカイドウ,サマニグンサマニチョウ,ミナトマチ,北海道,様似郡様似町,港町
