0613271,ホッカイドウ,オタルシ,ゼニバコ（４−５チョウメ）,北海道,小樽市,銭函（４〜５丁目）
0613245,ホッカイドウ,イシカリシ,オヤフル,北海道,石狩市,生振
0613220,ホッカイドウ,イシカリシ,シビ,北海道,石狩市,志美
0613242,ホッカイドウ,イシカリシ,シンコウチュウオウ,北海道,石狩市,新港中央
0613243,ホッカイドウ,イシカリシ,シンコウヒガシ,北海道,石狩市,新港東
0613241,ホッカイドウ,イシカリシ,シンコウニシ,北海道,石狩市,新港西
0613244,ホッカイドウ,イシカリシ,シンコウミナミ,北海道,石狩市,新港南
0613253,ホッカイドウ,イシカリシ,タルカワ３ジョウ,北海道,石狩市,樽川三条
0613254,ホッカイドウ,イシカリシ,タルカワ４ジョウ,北海道,石狩市,樽川四条
0613255,ホッカイドウ,イシカリシ,タルカワ５ジョウ,北海道,石狩市,樽川五条
0613256,ホッカイドウ,イシカリシ,タルカワ６ジョウ,北海道,石狩市,樽川六条
0613257,ホッカイドウ,イシカリシ,タルカワ７ジョウ,北海道,石狩市,樽川七条
0613258,ホッカイドウ,イシカリシ,タルカワ８ジョウ,北海道,石狩市,樽川八条
0613259,ホッカイドウ,イシカリシ,タルカワ９ジョウ,北海道,石狩市,樽川九条
0613251,ホッカイドウ,イシカリシ,タルカワ（ソノタ）,北海道,石狩市,樽川（その他）
0613219,ホッカイドウ,イシカリシ,ハナカワ,北海道,石狩市,花川
0613211,ホッカイドウ,イシカリシ,ハナカワキタ１ジョウ,北海道,石狩市,花川北一条
0613212,ホッカイドウ,イシカリシ,ハナカワキタ２ジョウ,北海道,石狩市,花川北二条
0613213,ホッカイドウ,イシカリシ,ハナカワキタ３ジョウ,北海道,石狩市,花川北三条
0613214,ホッカイドウ,イシカリシ,ハナカワキタ４ジョウ,北海道,石狩市,花川北四条
0613215,ホッカイドウ,イシカリシ,ハナカワキタ５ジョウ,北海道,石狩市,花川北五条
0613216,ホッカイドウ,イシカリシ,ハナカワキタ６ジョウ,北海道,石狩市,花川北六条
0613217,ホッカイドウ,イシカリシ,ハナカワキタ７ジョウ,北海道,石狩市,花川北七条
0613248,ホッカイドウ,イシカリシ,ハナカワヒガシ,北海道,石狩市,花川東
0613262,ホッカイドウ,イシカリシ,ハナカワヒガシ２ジョウ,北海道,石狩市,花川東二条
0613210,ホッカイドウ,イシカリシ,ハナカワミナミ１０ジョウ,北海道,石狩市,花川南十条
0613201,ホッカイドウ,イシカリシ,ハナカワミナミ１ジョウ,北海道,石狩市,花川南一条
0613202,ホッカイドウ,イシカリシ,ハナカワミナミ２ジョウ,北海道,石狩市,花川南二条
0613203,ホッカイドウ,イシカリシ,ハナカワミナミ３ジョウ,北海道,石狩市,花川南三条
0613204,ホッカイドウ,イシカリシ,ハナカワミナミ４ジョウ,北海道,石狩市,花川南四条
0613205,ホッカイドウ,イシカリシ,ハナカワミナミ５ジョウ,北海道,石狩市,花川南五条
0613206,ホッカイドウ,イシカリシ,ハナカワミナミ６ジョウ,北海道,石狩市,花川南六条
0613207,ホッカイドウ,イシカリシ,ハナカワミナミ７ジョウ,北海道,石狩市,花川南七条
0613208,ホッカイドウ,イシカリシ,ハナカワミナミ８ジョウ,北海道,石狩市,花川南八条
0613209,ホッカイドウ,イシカリシ,ハナカワミナミ９ジョウ,北海道,石狩市,花川南九条
0613281,ホッカイドウ,イシカリシ,バンナグロ１ジョウ,北海道,石狩市,花畔一条
0613283,ホッカイドウ,イシカリシ,バンナグロ３ジョウ,北海道,石狩市,花畔三条
0613282,ホッカイドウ,イシカリシ,バンナグロ２ジョウ,北海道,石狩市,花畔二条
0613218,ホッカイドウ,イシカリシ,バンナグロ（ソノタ）,北海道,石狩市,花畔（その他）
0613284,ホッカイドウ,イシカリシ,バンナグロ４ジョウ,北海道,石狩市,花畔四条
0613231,ホッカイドウ,イシカリシ,リョクエンダイニシ１ジョウ,北海道,石狩市,緑苑台西一条
0613230,ホッカイドウ,イシカリシ,リョクエンダイチュウオウ,北海道,石狩市,緑苑台中央
0613221,ホッカイドウ,イシカリシ,リョクエンダイヒガシ１ジョウ,北海道,石狩市,緑苑台東一条
0613232,ホッカイドウ,イシカリシ,リョクエンダイニシ２ジョウ,北海道,石狩市,緑苑台西二条
0613222,ホッカイドウ,イシカリシ,リョクエンダイヒガシ２ジョウ,北海道,石狩市,緑苑台東二条
0613223,ホッカイドウ,イシカリシ,リョクエンダイヒガシ３ジョウ,北海道,石狩市,緑苑台東三条
0613261,ホッカイドウ,イシカリシ,ハナカワヒガシ１ジョウ,北海道,石狩市,花川東一条
