0682181,ホッカイドウ,ビバイシ,コウシュナイチョウミナミ（２７９４−１２バンチ）,北海道,美唄市,光珠内町南（２７９４−１２番地）
0682100,ホッカイドウ,ミカサシ,イカニケイサイガナイバアイ,北海道,三笠市,以下に掲載がない場合
0682151,ホッカイドウ,ミカサシ,アリアケチョウ,北海道,三笠市,有明町
0682112,ホッカイドウ,ミカサシ,イクシュンベツカワムカイチョウ,北海道,三笠市,幾春別川向町
0682114,ホッカイドウ,ミカサシ,イクシュンベツクリオカチョウ,北海道,三笠市,幾春別栗丘町
0682118,ホッカイドウ,ミカサシ,イクシュンベツセンジュウチョウ,北海道,三笠市,幾春別千住町
0682115,ホッカイドウ,ミカサシ,イクシュンベツタキミチョウ,北海道,三笠市,幾春別滝見町
0682117,ホッカイドウ,ミカサシ,イクシュンベツナカジマチョウ,北海道,三笠市,幾春別中島町
0682111,ホッカイドウ,ミカサシ,イクシュンベツニシキチョウ,北海道,三笠市,幾春別錦町
0682113,ホッカイドウ,ミカサシ,イクシュンベツヤマテチョウ,北海道,三笠市,幾春別山手町
0682116,ホッカイドウ,ミカサシ,イクシュンベツチョウ,北海道,三笠市,幾春別町
0682164,ホッカイドウ,ミカサシ,イチキシリ,北海道,三笠市,いちきしり
0682167,ホッカイドウ,ミカサシ,オオサト,北海道,三笠市,大里
0682165,ホッカイドウ,ミカサシ,オカヤマ,北海道,三笠市,岡山
0682108,ホッカイドウ,ミカサシ,カシワチョウ,北海道,三笠市,柏町
0682101,ホッカイドウ,ミカサシ,カツラザワ,北海道,三笠市,桂沢
0682166,ホッカイドウ,ミカサシ,カヤノ,北海道,三笠市,萱野
0682162,ホッカイドウ,ミカサシ,カワナイ,北海道,三笠市,川内
0682105,ホッカイドウ,ミカサシ,キヨズミチョウ,北海道,三笠市,清住町
0682153,ホッカイドウ,ミカサシ,サイワイチョウ,北海道,三笠市,幸町
0682155,ホッカイドウ,ミカサシ,サカキチョウ,北海道,三笠市,榊町
0682154,ホッカイドウ,ミカサシ,タカミチョウ,北海道,三笠市,高美町
0682152,ホッカイドウ,ミカサシ,タガチョウ,北海道,三笠市,多賀町
0682163,ホッカイドウ,ミカサシ,タップ,北海道,三笠市,達布
0682158,ホッカイドウ,ミカサシ,ツツミチョウ,北海道,三笠市,堤町
0682137,ホッカイドウ,ミカサシ,トウマツアオヤマチョウ,北海道,三笠市,唐松青山町
0682136,ホッカイドウ,ミカサシ,トウマツサカエチョウ,北海道,三笠市,唐松栄町
0682131,ホッカイドウ,ミカサシ,トウマツシュンコウチョウ,北海道,三笠市,唐松春光町
0682134,ホッカイドウ,ミカサシ,トウマツチヨダチョウ,北海道,三笠市,唐松千代田町
0682133,ホッカイドウ,ミカサシ,トウマツトキワチョウ,北海道,三笠市,唐松常盤町
0682132,ホッカイドウ,ミカサシ,トウマツミドリチョウ,北海道,三笠市,唐松緑町
0682135,ホッカイドウ,ミカサシ,トウマツチョウ,北海道,三笠市,唐松町
0682102,ホッカイドウ,ミカサシ,ニシカツラザワ,北海道,三笠市,西桂沢
0682104,ホッカイドウ,ミカサシ,ヒガシキヨズミチョウ,北海道,三笠市,東清住町
0682146,ホッカイドウ,ミカサシ,ホロナイカスガチョウ,北海道,三笠市,幌内春日町
0682144,ホッカイドウ,ミカサシ,ホロナイカナヤチョウ,北海道,三笠市,幌内金谷町
0682147,ホッカイドウ,ミカサシ,ホロナイシンエイチョウ,北海道,三笠市,幌内新栄町
0682142,ホッカイドウ,ミカサシ,ホロナイスミヨシチョウ,北海道,三笠市,幌内住吉町
0682148,ホッカイドウ,ミカサシ,ホロナイハツネチョウ,北海道,三笠市,幌内初音町
0682143,ホッカイドウ,ミカサシ,ホロナイホクセイチョウ,北海道,三笠市,幌内北星町
0682145,ホッカイドウ,ミカサシ,ホロナイチョウ,北海道,三笠市,幌内町
0682161,ホッカイドウ,ミカサシ,ホンゴウチョウ,北海道,三笠市,本郷町
0682141,ホッカイドウ,ミカサシ,ホンチョウ,北海道,三笠市,本町
0682103,ホッカイドウ,ミカサシ,ポンベツシンマチ,北海道,三笠市,奔別新町
0682106,ホッカイドウ,ミカサシ,ミソノチョウ,北海道,三笠市,美園町
0682156,ホッカイドウ,ミカサシ,ミヤモトチョウ,北海道,三笠市,宮本町
0682168,ホッカイドウ,ミカサシ,ミワ,北海道,三笠市,美和
0682121,ホッカイドウ,ミカサシ,ヤヨイサクラギチョウ,北海道,三笠市,弥生桜木町
0682125,ホッカイドウ,ミカサシ,ヤヨイタチバナチョウ,北海道,三笠市,弥生橘町
0682122,ホッカイドウ,ミカサシ,ヤヨイナミキチョウ,北海道,三笠市,弥生並木町
0682124,ホッカイドウ,ミカサシ,ヤヨイハナゾノチョウ,北海道,三笠市,弥生花園町
0682128,ホッカイドウ,ミカサシ,ヤヨイフジエチョウ,北海道,三笠市,弥生藤枝町
0682123,ホッカイドウ,ミカサシ,ヤヨイモモヤマチョウ,北海道,三笠市,弥生桃山町
0682127,ホッカイドウ,ミカサシ,ヤヨイヤナギチョウ,北海道,三笠市,弥生柳町
0682126,ホッカイドウ,ミカサシ,ヤヨイチョウ,北海道,三笠市,弥生町
0682107,ホッカイドウ,ミカサシ,ワカクサチョウ,北海道,三笠市,若草町
0682157,ホッカイドウ,ミカサシ,ワカマツチョウ,北海道,三笠市,若松町
