0760081,ホッカイドウ,アシベツシ,イズミ,北海道,芦別市,泉
0760026,ホッカイドウ,フラノシ,アサヒマチ,北海道,富良野市,朝日町
0760000,ホッカイドウ,フラノシ,イカニケイサイガナイバアイ,北海道,富良野市,以下に掲載がない場合
0760008,ホッカイドウ,フラノシ,オウギマチ,北海道,富良野市,扇町
0760035,ホッカイドウ,フラノシ,ガクデンサンク,北海道,富良野市,学田三区
0760054,ホッカイドウ,フラノシ,カスガチョウ,北海道,富良野市,春日町
0760038,ホッカイドウ,フラノシ,カツラギチョウ,北海道,富良野市,桂木町
0760015,ホッカイドウ,フラノシ,カミゴリョウ,北海道,富良野市,上御料
0760014,ホッカイドウ,フラノシ,カミゴク,北海道,富良野市,上五区
0760001,ホッカイドウ,フラノシ,キタオウギヤマ,北海道,富良野市,北扇山
0760059,ホッカイドウ,フラノシ,キタアサマチ,北海道,富良野市,北麻町
0760044,ホッカイドウ,フラノシ,キタオオヌマ,北海道,富良野市,北大沼
0760034,ホッカイドウ,フラノシ,キタノミネチョウ,北海道,富良野市,北の峰町
0760023,ホッカイドウ,フラノシ,サカエマチ,北海道,富良野市,栄町
0760024,ホッカイドウ,フラノシ,サイワイチョウ,北海道,富良野市,幸町
0760039,ホッカイドウ,フラノシ,シナノサワ,北海道,富良野市,信濃沢
0760050,ホッカイドウ,フラノシ,シノノメチョウ,北海道,富良野市,東雲町
0760036,ホッカイドウ,フラノシ,シマノシタ,北海道,富良野市,島ノ下
0760048,ホッカイドウ,フラノシ,シミズヤマ,北海道,富良野市,清水山
0760012,ホッカイドウ,フラノシ,シモゴク,北海道,富良野市,下五区
0760017,ホッカイドウ,フラノシ,シモゴリョウ,北海道,富良野市,下御料
0760058,ホッカイドウ,フラノシ,シンコウチョウ,北海道,富良野市,新光町
0760033,ホッカイドウ,フラノシ,シントミチョウ,北海道,富良野市,新富町
0760011,ホッカイドウ,フラノシ,スエヒロチョウ,北海道,富良野市,末広町
0760057,ホッカイドウ,フラノシ,スミヨシチョウ,北海道,富良野市,住吉町
0760013,ホッカイドウ,フラノシ,ナカゴク,北海道,富良野市,中五区
0760016,ホッカイドウ,フラノシ,ナカゴリョウ,北海道,富良野市,中御料
0760055,ホッカイドウ,フラノシ,ニシアサマチ,北海道,富良野市,西麻町
0760006,ホッカイドウ,フラノシ,ニシオウギヤマ,北海道,富良野市,西扇山
0760047,ホッカイドウ,フラノシ,ニシガクデンニク,北海道,富良野市,西学田二区
0760028,ホッカイドウ,フラノシ,ニシキマチ,北海道,富良野市,錦町
0760042,ホッカイドウ,フラノシ,ニシトリヌマ,北海道,富良野市,西鳥沼
0760037,ホッカイドウ,フラノシ,ニシマチ,北海道,富良野市,西町
0760003,ホッカイドウ,フラノシ,ヌノベイシワタ,北海道,富良野市,布部石綿
0760004,ホッカイドウ,フラノシ,ヌノベシガイチ,北海道,富良野市,布部市街地
0760005,ホッカイドウ,フラノシ,ヌノベイチ,北海道,富良野市,布部一
0760027,ホッカイドウ,フラノシ,ハナゾノチョウ,北海道,富良野市,花園町
0760051,ホッカイドウ,フラノシ,ヒガシアサマチ,北海道,富良野市,東麻町
0760045,ホッカイドウ,フラノシ,ヒガシガクデンニク,北海道,富良野市,東学田二区
0760041,ホッカイドウ,フラノシ,ヒガシトリヌマ,北海道,富良野市,東鳥沼
0760053,ホッカイドウ,フラノシ,ヒガシマチ,北海道,富良野市,東町
0760025,ホッカイドウ,フラノシ,ヒノデマチ,北海道,富良野市,日の出町
0760056,ホッカイドウ,フラノシ,ミズホチョウ,北海道,富良野市,瑞穂町
0760021,ホッカイドウ,フラノシ,ミドリマチ,北海道,富良野市,緑町
0760052,ホッカイドウ,フラノシ,ミナミアサマチ,北海道,富良野市,南麻町
0760002,ホッカイドウ,フラノシ,ミナミオウギヤマ,北海道,富良野市,南扇山
0760043,ホッカイドウ,フラノシ,ミナミオオヌマ,北海道,富良野市,南大沼
0760007,ホッカイドウ,フラノシ,ミナミマチ,北海道,富良野市,南町
0760031,ホッカイドウ,フラノシ,モトマチ,北海道,富良野市,本町
0760046,ホッカイドウ,フラノシ,ホクトチョウ,北海道,富良野市,北斗町
0760018,ホッカイドウ,フラノシ,ヤヨイチョウ,北海道,富良野市,弥生町
0760022,ホッカイドウ,フラノシ,ワカバチョウ,北海道,富良野市,若葉町
0760032,ホッカイドウ,フラノシ,ワカマツチョウ,北海道,富良野市,若松町
