0983361,ホッカイドウ,テシオグンエンベツチョウ,キタサト（１５ゴウノサワ）,北海道,天塩郡遠別町,北里（１５号の沢）
0983311,ホッカイドウ,テシオグンテシオチョウ,ウブシ,北海道,天塩郡天塩町,産士
0983300,ホッカイドウ,テシオグンテシオチョウ,イカニケイサイガナイバアイ,北海道,天塩郡天塩町,以下に掲載がない場合
0983306,ホッカイドウ,テシオグンテシオチョウ,カイガンドオリ,北海道,天塩郡天塩町,海岸通
0983312,ホッカイドウ,テシオグンテシオチョウ,カワグチ,北海道,天塩郡天塩町,川口
0983314,ホッカイドウ,テシオグンテシオチョウ,サラキシ,北海道,天塩郡天塩町,更岸
0983313,ホッカイドウ,テシオグンテシオチョウ,サクカエシ,北海道,天塩郡天塩町,作返
0983303,ホッカイドウ,テシオグンテシオチョウ,シンエイドオリ,北海道,天塩郡天塩町,新栄通
0983305,ホッカイドウ,テシオグンテシオチョウ,シンカイドオリ,北海道,天塩郡天塩町,新開通
0983304,ホッカイドウ,テシオグンテシオチョウ,シンチドオリ,北海道,天塩郡天塩町,新地通
0983315,ホッカイドウ,テシオグンテシオチョウ,テシオ,北海道,天塩郡天塩町,天塩
0983316,ホッカイドウ,テシオグンテシオチョウ,フラオイ,北海道,天塩郡天塩町,振老
0983302,ホッカイドウ,テシオグンテシオチョウ,ヤマテウラドオリ,北海道,天塩郡天塩町,山手裏通
0983301,ホッカイドウ,テシオグンテシオチョウ,ヤマテドオリ,北海道,天塩郡天塩町,山手通
