1350091,トウキョウト,ミナトク,ダイバ,東京都,港区,台場
1350000,トウキョウト,コウトウク,イカニケイサイガナイバアイ,東京都,江東区,以下に掲載がない場合
1350064,トウキョウト,コウトウク,アオミ,東京都,江東区,青海
1350014,トウキョウト,コウトウク,イシジマ,東京都,江東区,石島
1350063,トウキョウト,コウトウク,アリアケ,東京都,江東区,有明
1350012,トウキョウト,コウトウク,ウミベ,東京都,江東区,海辺
1350034,トウキョウト,コウトウク,エイタイ,東京都,江東区,永代
1350066,トウキョウト,コウトウク,ウミノモリ,東京都,江東区,海の森
1350044,トウキョウト,コウトウク,エッチュウジマ,東京都,江東区,越中島
1350011,トウキョウト,コウトウク,オウギバシ,東京都,江東区,扇橋
1350042,トウキョウト,コウトウク,キバ,東京都,江東区,木場
1350024,トウキョウト,コウトウク,キヨスミ,東京都,江東区,清澄
1350031,トウキョウト,コウトウク,サガ,東京都,江東区,佐賀
1350043,トウキョウト,コウトウク,シオハマ,東京都,江東区,塩浜
1350003,トウキョウト,コウトウク,サルエ,東京都,江東区,猿江
1350052,トウキョウト,コウトウク,シオミ,東京都,江東区,潮見
1350021,トウキョウト,コウトウク,シラカワ,東京都,江東区,白河
1350051,トウキョウト,コウトウク,エダガワ,東京都,江東区,枝川
1350007,トウキョウト,コウトウク,シンオオハシ,東京都,江東区,新大橋
1350015,トウキョウト,コウトウク,センゴク,東京都,江東区,千石
1350002,トウキョウト,コウトウク,スミヨシ,東京都,江東区,住吉
1350053,トウキョウト,コウトウク,タツミ,東京都,江東区,辰巳
1350005,トウキョウト,コウトウク,タカバシ,東京都,江東区,高橋
1350013,トウキョウト,コウトウク,センダ,東京都,江東区,千田
1350065,トウキョウト,コウトウク,チュウオウボウハテイ,東京都,江東区,中央防波堤
1350062,トウキョウト,コウトウク,シノノメ,東京都,江東区,東雲
1350006,トウキョウト,コウトウク,トキワ,東京都,江東区,常盤
1350061,トウキョウト,コウトウク,トヨス（ツギノビルヲノゾク）,東京都,江東区,豊洲（次のビルを除く）
1350047,トウキョウト,コウトウク,トミオカ,東京都,江東区,富岡
1356090,トウキョウト,コウトウク,トヨストヨスセンタービル（チカイ・カイソウフメイ）,東京都,江東区,豊洲豊洲センタービル（地階・階層不明）
1356001,トウキョウト,コウトウク,トヨストヨスセンタービル（１カイ）,東京都,江東区,豊洲豊洲センタービル（１階）
1356002,トウキョウト,コウトウク,トヨストヨスセンタービル（２カイ）,東京都,江東区,豊洲豊洲センタービル（２階）
1356004,トウキョウト,コウトウク,トヨストヨスセンタービル（４カイ）,東京都,江東区,豊洲豊洲センタービル（４階）
1356005,トウキョウト,コウトウク,トヨストヨスセンタービル（５カイ）,東京都,江東区,豊洲豊洲センタービル（５階）
1356006,トウキョウト,コウトウク,トヨストヨスセンタービル（６カイ）,東京都,江東区,豊洲豊洲センタービル（６階）
1356007,トウキョウト,コウトウク,トヨストヨスセンタービル（７カイ）,東京都,江東区,豊洲豊洲センタービル（７階）
1356003,トウキョウト,コウトウク,トヨストヨスセンタービル（３カイ）,東京都,江東区,豊洲豊洲センタービル（３階）
1356008,トウキョウト,コウトウク,トヨストヨスセンタービル（８カイ）,東京都,江東区,豊洲豊洲センタービル（８階）
1356009,トウキョウト,コウトウク,トヨストヨスセンタービル（９カイ）,東京都,江東区,豊洲豊洲センタービル（９階）
1356011,トウキョウト,コウトウク,トヨストヨスセンタービル（１１カイ）,東京都,江東区,豊洲豊洲センタービル（１１階）
1356012,トウキョウト,コウトウク,トヨストヨスセンタービル（１２カイ）,東京都,江東区,豊洲豊洲センタービル（１２階）
1356013,トウキョウト,コウトウク,トヨストヨスセンタービル（１３カイ）,東京都,江東区,豊洲豊洲センタービル（１３階）
1356010,トウキョウト,コウトウク,トヨストヨスセンタービル（１０カイ）,東京都,江東区,豊洲豊洲センタービル（１０階）
1356014,トウキョウト,コウトウク,トヨストヨスセンタービル（１４カイ）,東京都,江東区,豊洲豊洲センタービル（１４階）
1356015,トウキョウト,コウトウク,トヨストヨスセンタービル（１５カイ）,東京都,江東区,豊洲豊洲センタービル（１５階）
1350016,トウキョウト,コウトウク,トウヨウ,東京都,江東区,東陽
1356017,トウキョウト,コウトウク,トヨストヨスセンタービル（１７カイ）,東京都,江東区,豊洲豊洲センタービル（１７階）
