2701471,チバケン,フナバシシ,コムロチョウ,千葉県,船橋市,小室町
2701451,チバケン,カシワシ,アケボノバシ,千葉県,柏市,曙橋
2701457,チバケン,カシワシ,イズミムラシンデン,千葉県,柏市,泉村新田
2701456,チバケン,カシワシ,イズミ,千葉県,柏市,泉
2701445,チバケン,カシワシ,イワイ,千葉県,柏市,岩井
2701446,チバケン,カシワシ,イワイムラシンデン,千葉県,柏市,岩井村新田
2701453,チバケン,カシワシ,カタヤマ,千葉県,柏市,片山
2701455,チバケン,カシワシ,カネヤマ,千葉県,柏市,金山
2701452,チバケン,カシワシ,カタヤマシンデン,千葉県,柏市,片山新田
2701461,チバケン,カシワシ,スイドウバシ,千葉県,柏市,水道橋
2701462,チバケン,カシワシ,センゲンバシ,千葉県,柏市,千間橋
2701442,チバケン,カシワシ,ソメイイリシンデン,千葉県,柏市,染井入新田
2701466,チバケン,カシワシ,テガシンデン,千葉県,柏市,手賀新田
2701447,チバケン,カシワシ,テガノモリ,千葉県,柏市,手賀の杜
2701465,チバケン,カシワシ,テガ,千葉県,柏市,手賀
2701464,チバケン,カシワシ,フゼ,千葉県,柏市,布瀬
2701463,チバケン,カシワシ,フゼシンデン,千葉県,柏市,布瀬新田
2701444,チバケン,カシワシ,ワカシラガ,千葉県,柏市,若白毛
2701443,チバケン,カシワシ,ワシノヤ,千葉県,柏市,鷲野谷
2701441,チバケン,カシワシ,ワシノヤシンデン,千葉県,柏市,鷲野谷新田
2701454,チバケン,カシワシ,ヤナド,千葉県,柏市,柳戸
2701400,チバケン,シロイシ,イカニケイサイガナイバアイ,千葉県,白井市,以下に掲載がない場合
2701425,チバケン,シロイシ,イケノカミ,千葉県,白井市,池の上
2701401,チバケン,シロイシ,イマイ,千葉県,白井市,今井
2701434,チバケン,シロイシ,オオヤマグチ,千葉県,白井市,大山口
2701404,チバケン,シロイシ,オリタテ,千葉県,白井市,折立
2701403,チバケン,シロイシ,カワラゴ,千葉県,白井市,河原子
2701437,チバケン,シロイシ,キ,千葉県,白井市,木
2701415,チバケン,シロイシ,キヨド,千葉県,白井市,清戸
2701433,チバケン,シロイシ,ケヤキダイ,千葉県,白井市,けやき台
2701412,チバケン,シロイシ,サクラダイ,千葉県,白井市,桜台
2701426,チバケン,シロイシ,ササヅカ,千葉県,白井市,笹塚
2701416,チバケン,シロイシ,シシバ,千葉県,白井市,神々廻
2701435,チバケン,シロイシ,シミズグチ,千葉県,白井市,清水口
2701421,チバケン,シロイシ,シロイ,千葉県,白井市,白井
2701405,チバケン,シロイシ,トミツカ,千葉県,白井市,富塚
2701439,チバケン,シロイシ,ダイマツ,千葉県,白井市,大松
2701411,チバケン,シロイシ,トヨイチ,千葉県,白井市,十余一
2701406,チバケン,シロイシ,ナカ,千葉県,白井市,中
2701407,チバケン,シロイシ,ナウチ,千葉県,白井市,名内
2701436,チバケン,シロイシ,ナナツギダイ,千葉県,白井市,七次台
2701431,チバケン,シロイシ,ネ,千葉県,白井市,根
2701438,チバケン,シロイシ,ノグチ,千葉県,白井市,野口
2701408,チバケン,シロイシ,ニシシロイ,千葉県,白井市,西白井
2701402,チバケン,シロイシ,ヒラツカ,千葉県,白井市,平塚
2701432,チバケン,シロイシ,フジ,千葉県,白井市,冨士
2701422,チバケン,シロイシ,フク,千葉県,白井市,復
2701424,チバケン,シロイシ,ホリゴメ,千葉県,白井市,堀込
2701413,チバケン,シロイシ,ムザイ,千葉県,白井市,武西
2701414,チバケン,シロイシ,ヤタ,千葉県,白井市,谷田
2701423,チバケン,シロイシ,ミナミヤマ,千葉県,白井市,南山
