2990271,チバケン,キサラヅシ,サカドイチバ,千葉県,木更津市,坂戸市場
2990200,チバケン,ソデガウラシ,イカニケイサイガナイバアイ,千葉県,袖ケ浦市,以下に掲載がない場合
2990216,チバケン,ソデガウラシ,アベ,千葉県,袖ケ浦市,阿部
2990256,チバケン,ソデガウラシ,イイトミ,千葉県,袖ケ浦市,飯富
2990264,チバケン,ソデガウラシ,イマイ,千葉県,袖ケ浦市,今井
2990233,チバケン,ソデガウラシ,イワイ,千葉県,袖ケ浦市,岩井
2990217,チバケン,ソデガウラシ,ウチコシ,千葉県,袖ケ浦市,打越
2990232,チバケン,ソデガウラシ,エイチ,千葉県,袖ケ浦市,永地
2990221,チバケン,ソデガウラシ,オオタケ,千葉県,袖ケ浦市,大竹
2990237,チバケン,ソデガウラシ,オオドリイ,千葉県,袖ケ浦市,大鳥居
2990253,チバケン,ソデガウラシ,オゾネ,千葉県,袖ケ浦市,大曽根
2990252,チバケン,ソデガウラシ,カツ,千葉県,袖ケ浦市,勝
2990205,チバケン,ソデガウラシ,カミイズミ,千葉県,袖ケ浦市,上泉
2990201,チバケン,ソデガウラシ,カワハライ,千葉県,袖ケ浦市,川原井
2990222,チバケン,ソデガウラシ,カミミヤダ,千葉県,袖ケ浦市,上宮田
2990257,チバケン,ソデガウラシ,カンノウ,千葉県,袖ケ浦市,神納
2990266,チバケン,ソデガウラシ,キタソデ,千葉県,袖ケ浦市,北袖
2990242,チバケン,ソデガウラシ,クボタ,千葉県,袖ケ浦市,久保田
2990243,チバケン,ソデガウラシ,クラナミ,千葉県,袖ケ浦市,蔵波
2990245,チバケン,ソデガウラシ,クラナミダイ,千葉県,袖ケ浦市,蔵波台
2990262,チバケン,ソデガウラシ,サカドイチバ,千葉県,袖ケ浦市,坂戸市場
2990212,チバケン,ソデガウラシ,サンガ,千葉県,袖ケ浦市,三箇
2990247,チバケン,ソデガウラシ,シイノモリ,千葉県,袖ケ浦市,椎の森
2990231,チバケン,ソデガウラシ,シモイズミ,千葉県,袖ケ浦市,下泉
2990255,チバケン,ソデガウラシ,シモニッタ,千葉県,袖ケ浦市,下新田
2990214,チバケン,ソデガウラシ,シモネギシ,千葉県,袖ケ浦市,下根岸
2990223,チバケン,ソデガウラシ,シモミヤダ,千葉県,袖ケ浦市,下宮田
2990269,チバケン,ソデガウラシ,ソデガウラエキマエ,千葉県,袖ケ浦市,袖ケ浦駅前
2990241,チバケン,ソデガウラシ,ダイジュク,千葉県,袖ケ浦市,代宿
2990203,チバケン,ソデガウラシ,タカヤ,千葉県,袖ケ浦市,高谷
2990226,チバケン,ソデガウラシ,タキノクチ,千葉県,袖ケ浦市,滝の口
2990225,チバケン,ソデガウラシ,タマノ,千葉県,袖ケ浦市,玉野
2990213,チバケン,ソデガウラシ,ドウメキ,千葉県,袖ケ浦市,百目木
2990215,チバケン,ソデガウラシ,ドウヤツ,千葉県,袖ケ浦市,堂谷
2990267,チバケン,ソデガウラシ,ナカソデ,千葉県,袖ケ浦市,中袖
2990265,チバケン,ソデガウラシ,ナガウラ,千葉県,袖ケ浦市,長浦
2990246,チバケン,ソデガウラシ,ナガウラエキマエ,千葉県,袖ケ浦市,長浦駅前
2990204,チバケン,ソデガウラシ,ナガヨシ,千葉県,袖ケ浦市,永吉
2990263,チバケン,ソデガウラシ,ナラワ,千葉県,袖ケ浦市,奈良輪
2990211,チバケン,ソデガウラシ,ノザト,千葉県,袖ケ浦市,野里
2990251,チバケン,ソデガウラシ,ノゾミノ,千葉県,袖ケ浦市,のぞみ野
2990202,チバケン,ソデガウラシ,ハヤシ,千葉県,袖ケ浦市,林
2990244,チバケン,ソデガウラシ,ノダ,千葉県,袖ケ浦市,野田
2990261,チバケン,ソデガウラシ,フクオウダイ,千葉県,袖ケ浦市,福王台
2990254,チバケン,ソデガウラシ,ミツザク,千葉県,袖ケ浦市,三ツ作
2990235,チバケン,ソデガウラシ,ミクロ,千葉県,袖ケ浦市,三黒
2990268,チバケン,ソデガウラシ,ミナミソデ,千葉県,袖ケ浦市,南袖
2990236,チバケン,ソデガウラシ,ヨコタ,千葉県,袖ケ浦市,横田
2990234,チバケン,ソデガウラシ,ヤナカ,千葉県,袖ケ浦市,谷中
2990224,チバケン,ソデガウラシ,ヨシノダ,千葉県,袖ケ浦市,吉野田
