3001283,イバラキケン,ウシクシ,オクバラチョウ,茨城県,牛久市,奥原町
3000500,イバラキケン,イナシキシ,イカニケイサイガナイバアイ,茨城県,稲敷市,以下に掲載がない場合
3000503,イバラキケン,イナシキシ,イナミ,茨城県,稲敷市,稲波
3000507,イバラキケン,イナシキシ,イヌヅカ,茨城県,稲敷市,犬塚
3000504,イバラキケン,イナシキシ,エドサキコウ,茨城県,稲敷市,江戸崎甲
3000529,イバラキケン,イナシキシ,エドサキミライ,茨城県,稲敷市,江戸崎みらい
3000509,イバラキケン,イナシキシ,エドサキオツ,茨城県,稲敷市,江戸崎乙
3000528,イバラキケン,イナシキシ,カミキミヤマ,茨城県,稲敷市,上君山
3000522,イバラキケン,イナシキシ,カマガヤマ,茨城県,稲敷市,蒲ケ山
3000513,イバラキケン,イナシキシ,クワヤマ,茨城県,稲敷市,桑山
3000524,イバラキケン,イナシキシ,コハガ,茨城県,稲敷市,小羽賀
3000514,イバラキケン,イナシキシ,コマツカ,茨城県,稲敷市,駒塚
3000508,イバラキケン,イナシキシ,サクラ,茨城県,稲敷市,佐倉
3000512,イバラキケン,イナシキシ,シイヅカ,茨城県,稲敷市,椎塚
3000502,イバラキケン,イナシキシ,シダフット,茨城県,稲敷市,信太古渡
3000527,イバラキケン,イナシキシ,シモキミヤマ,茨城県,稲敷市,下君山
3000521,イバラキケン,イナシキシ,スダチ,茨城県,稲敷市,月出里
3000511,イバラキケン,イナシキシ,タカダ,茨城県,稲敷市,高田
3000523,イバラキケン,イナシキシ,トキザキ,茨城県,稲敷市,時崎
3000525,イバラキケン,イナシキシ,ハガ,茨城県,稲敷市,羽賀
3000501,イバラキケン,イナシキシ,ハトザキ,茨城県,稲敷市,鳩崎
3000526,イバラキケン,イナシキシ,マツヤマ,茨城県,稲敷市,松山
3000515,イバラキケン,イナシキシ,ミナミガオカ,茨城県,稲敷市,南ケ丘
3000505,イバラキケン,イナシキシ,ムラタ,茨城県,稲敷市,村田
3000506,イバラキケン,イナシキシ,ヌマタ,茨城県,稲敷市,沼田
