3380837,サイタマケン,サイタマシサクラク,タジマ,埼玉県,さいたま市桜区,田島
3300064,サイタマケン,サイタマシウラワク,キシチョウ,埼玉県,さいたま市浦和区,岸町
3300074,サイタマケン,サイタマシウラワク,キタウラワ,埼玉県,さいたま市浦和区,北浦和
3300044,サイタマケン,サイタマシウラワク,セガサキ,埼玉県,さいたま市浦和区,瀬ヶ崎
3300065,サイタマケン,サイタマシウラワク,シンメイ,埼玉県,さいたま市浦和区,神明
3300051,サイタマケン,サイタマシウラワク,コマバ,埼玉県,さいたま市浦和区,駒場
3300043,サイタマケン,サイタマシウラワク,ダイトウ,埼玉県,さいたま市浦和区,大東
3300062,サイタマケン,サイタマシウラワク,ナカチョウ,埼玉県,さいたま市浦和区,仲町
3300063,サイタマケン,サイタマシウラワク,タカサゴ,埼玉県,さいたま市浦和区,高砂
3300054,サイタマケン,サイタマシウラワク,ヒガシキシチョウ,埼玉県,さいたま市浦和区,東岸町
3300055,サイタマケン,サイタマシウラワク,ヒガシタカサゴチョウ,埼玉県,さいたま市浦和区,東高砂町
3300056,サイタマケン,サイタマシウラワク,ヒガシナカチョウ,埼玉県,さいたま市浦和区,東仲町
3300041,サイタマケン,サイタマシウラワク,ミサキ,埼玉県,さいたま市浦和区,三崎
3300053,サイタマケン,サイタマシウラワク,マエジ,埼玉県,さいたま市浦和区,前地
3300052,サイタマケン,サイタマシウラワク,モトブト,埼玉県,さいたま市浦和区,本太
3300072,サイタマケン,サイタマシウラワク,リョウケ,埼玉県,さいたま市浦和区,領家
3300073,サイタマケン,サイタマシウラワク,モトチョウ,埼玉県,さいたま市浦和区,元町
3360000,サイタマケン,サイタマシミナミク,イカニケイサイガナイバアイ,埼玉県,さいたま市南区,以下に掲載がない場合
3360042,サイタマケン,サイタマシミナミク,オオヤグチ,埼玉県,さいたま市南区,大谷口
3360043,サイタマケン,サイタマシミナミク,エンショウジ,埼玉県,さいたま市南区,円正寺
3360016,サイタマケン,サイタマシミナミク,オオヤバ,埼玉県,さいたま市南区,大谷場
3360034,サイタマケン,サイタマシミナミク,ウチヤ,埼玉県,さいたま市南区,内谷
3360031,サイタマケン,サイタマシミナミク,シカテブクロ,埼玉県,さいたま市南区,鹿手袋
3360022,サイタマケン,サイタマシミナミク,シラハタ,埼玉県,さいたま市南区,白幡
3360023,サイタマケン,サイタマシミナミク,シンメイ,埼玉県,さいたま市南区,神明
3360038,サイタマケン,サイタマシミナミク,セキ,埼玉県,さいたま市南区,関
3300061,サイタマケン,サイタマシウラワク,トキワ,埼玉県,さいたま市浦和区,常盤
3360015,サイタマケン,サイタマシミナミク,ダイタクボ,埼玉県,さいたま市南区,太田窪
3360026,サイタマケン,サイタマシミナミク,ツジ,埼玉県,さいたま市南区,辻
3360036,サイタマケン,サイタマシミナミク,テイガイ,埼玉県,さいたま市南区,堤外
3360041,サイタマケン,サイタマシミナミク,ヒロガヤト,埼玉県,さいたま市南区,広ヶ谷戸
3360024,サイタマケン,サイタマシミナミク,ネギシ,埼玉県,さいたま市南区,根岸
