3300836,サイタマケン,サイタマシオオミヤク,オオハラ,埼玉県,さいたま市大宮区,大原
3300000,サイタマケン,サイタマシチュウオウク,イカニケイサイガナイバアイ,埼玉県,さいたま市中央区,以下に掲載がない場合
3380012,サイタマケン,サイタマシチュウオウク,オオト,埼玉県,さいたま市中央区,大戸
3380007,サイタマケン,サイタマシチュウオウク,エンナミ,埼玉県,さいたま市中央区,円阿弥
3380014,サイタマケン,サイタマシチュウオウク,ウエミネ,埼玉県,さいたま市中央区,上峰
3380001,サイタマケン,サイタマシチュウオウク,カミオチアイ,埼玉県,さいたま市中央区,上落合
3300081,サイタマケン,サイタマシチュウオウク,シントシン（ツギノビルヲノゾク）,埼玉県,さいたま市中央区,新都心（次のビルを除く）
3380002,サイタマケン,サイタマシチュウオウク,シモオチアイ,埼玉県,さいたま市中央区,下落合
3380005,サイタマケン,サイタマシチュウオウク,サクラオカ,埼玉県,さいたま市中央区,桜丘
3380011,サイタマケン,サイタマシチュウオウク,シンナカザト,埼玉県,さいたま市中央区,新中里
3380006,サイタマケン,サイタマシチュウオウク,ハチオウジ,埼玉県,さいたま市中央区,八王子
3380013,サイタマケン,サイタマシチュウオウク,スズヤ,埼玉県,さいたま市中央区,鈴谷
3380800,サイタマケン,サイタマシサクラク,イカニケイサイガナイバアイ,埼玉県,さいたま市桜区,以下に掲載がない場合
3380003,サイタマケン,サイタマシチュウオウク,ホンマチヒガシ,埼玉県,さいたま市中央区,本町東
3380824,サイタマケン,サイタマシサクラク,カミオオクボ,埼玉県,さいたま市桜区,上大久保
3380826,サイタマケン,サイタマシサクラク,オオクボリョウケ,埼玉県,さいたま市桜区,大久保領家
3380813,サイタマケン,サイタマシサクラク,ザイケ,埼玉県,さいたま市桜区,在家
3380815,サイタマケン,サイタマシサクラク,ゴセキ,埼玉県,さいたま市桜区,五関
3380823,サイタマケン,サイタマシサクラク,サカワ,埼玉県,さいたま市桜区,栄和
3380833,サイタマケン,サイタマシサクラク,サクラダ,埼玉県,さいたま市桜区,桜田
3380814,サイタマケン,サイタマシサクラク,シュク,埼玉県,さいたま市桜区,宿
3380834,サイタマケン,サイタマシサクラク,シビラキ,埼玉県,さいたま市桜区,新開
3380825,サイタマケン,サイタマシサクラク,シモオオクボ,埼玉県,さいたま市桜区,下大久保
3380817,サイタマケン,サイタマシサクラク,ショウワ,埼玉県,さいたま市桜区,昭和
3380811,サイタマケン,サイタマシサクラク,シラクワ,埼玉県,さいたま市桜区,白鍬
3380812,サイタマケン,サイタマシサクラク,ジンデ,埼玉県,さいたま市桜区,神田
3380835,サイタマケン,サイタマシサクラク,ドウジョウ,埼玉県,さいたま市桜区,道場
3380816,サイタマケン,サイタマシサクラク,ツカモト,埼玉県,さいたま市桜区,塚本
3380822,サイタマケン,サイタマシサクラク,ナカジマ,埼玉県,さいたま市桜区,中島
3380832,サイタマケン,サイタマシサクラク,ニシボリ,埼玉県,さいたま市桜区,西堀
3380836,サイタマケン,サイタマシサクラク,マチヤ,埼玉県,さいたま市桜区,町谷
3380831,サイタマケン,サイタマシサクラク,ミナミモトジュク,埼玉県,さいたま市桜区,南元宿
3380821,サイタマケン,サイタマシサクラク,ヤマクボ,埼玉県,さいたま市桜区,山久保
3300042,サイタマケン,サイタマシウラワク,キザキ,埼玉県,さいたま市浦和区,木崎
3300071,サイタマケン,サイタマシウラワク,カミキザキ,埼玉県,さいたま市浦和区,上木崎
3300045,サイタマケン,サイタマシウラワク,コウザンチョウ,埼玉県,さいたま市浦和区,皇山町
3380004,サイタマケン,サイタマシチュウオウク,ホンマチニシ,埼玉県,さいたま市中央区,本町西
3300075,サイタマケン,サイタマシウラワク,ハリガヤ,埼玉県,さいたま市浦和区,針ヶ谷
