3890121,グンマケン,アンナカシ,マツイダマチトウゲ,群馬県,安中市,松井田町峠
3890100,ナガノケン,キタサクグンカルイザワマチ,イカニケイサイガナイバアイ,長野県,北佐久郡軽井沢町,以下に掲載がない場合
3890115,ナガノケン,キタサクグンカルイザワマチ,オイワケ,長野県,北佐久郡軽井沢町,追分
3890102,ナガノケン,キタサクグンカルイザワマチ,カルイザワ（オオアザ）,長野県,北佐久郡軽井沢町,軽井沢（大字）
3890103,ナガノケン,キタサクグンカルイザワマチ,カルイザワ（ソノタ）,長野県,北佐久郡軽井沢町,軽井沢（その他）
3890104,ナガノケン,キタサクグンカルイザワマチ,カルイザワヒガシ,長野県,北佐久郡軽井沢町,軽井沢東
3890101,ナガノケン,キタサクグンカルイザワマチ,トウゲマチ,長野県,北佐久郡軽井沢町,峠町
3890112,ナガノケン,キタサクグンカルイザワマチ,ナカカルイザワ,長野県,北佐久郡軽井沢町,中軽井沢
3890111,ナガノケン,キタサクグンカルイザワマチ,ナガクラ,長野県,北佐久郡軽井沢町,長倉
3890113,ナガノケン,キタサクグンカルイザワマチ,ホッチ,長野県,北佐久郡軽井沢町,発地
3890114,ナガノケン,キタサクグンカルイザワマチ,モザワ,長野県,北佐久郡軽井沢町,茂沢
