3892261,ニイガタケン,ミョウコウシ,タルモト（１１０１バンチ）,新潟県,妙高市,樽本（１１０１番地）
3892200,ナガノケン,イイヤマシ,イカニケイサイガナイバアイ,長野県,飯山市,以下に掲載がない場合
3892251,ナガノケン,イイヤマシ,アサヒ,長野県,飯山市,旭
3892253,ナガノケン,イイヤマシ,イイヤマ,長野県,飯山市,飯山
3892232,ナガノケン,イイヤマシ,シモキジマ,長野県,飯山市,下木島
3892231,ナガノケン,イイヤマシ,テンシンドウ,長野県,飯山市,天神堂
3892258,ナガノケン,イイヤマシ,トミクラ,長野県,飯山市,富倉
3892233,ナガノケン,イイヤマシ,ノサカダ,長野県,飯山市,野坂田
3892256,ナガノケン,イイヤマシ,ハチス,長野県,飯山市,蓮
3892255,ナガノケン,イイヤマシ,シズマ,長野県,飯山市,静間
3892257,ナガノケン,イイヤマシ,マダラオコウゲン,長野県,飯山市,斑尾高原
3892242,ナガノケン,イイヤマシ,ソノワタ,長野県,飯山市,其綿
3892254,ナガノケン,イイヤマシ,ミナミマチ,長野県,飯山市,南町
3892244,ナガノケン,イイヤマシ,ヤスダ,長野県,飯山市,安田
3892241,ナガノケン,イイヤマシ,ヤマギシ,長野県,飯山市,山岸
3892243,ナガノケン,イイヤマシ,ヨシ,長野県,飯山市,吉
3892252,ナガノケン,イイヤマシ,コザワラ,長野県,飯山市,小佐原
3892234,ナガノケン,イイヤマシ,キジマ,長野県,飯山市,木島
3892235,ナガノケン,イイヤマシ,サカイ,長野県,飯山市,坂井
