4220000,シズオカケン,シズオカシアオイク,イカニケイサイガナイバアイ,静岡県,静岡市葵区,以下に掲載がない場合
4220000,シズオカケン,シズオカシスルガク,イカニケイサイガナイバアイ,静岡県,静岡市駿河区,以下に掲載がない場合
4228014,シズオカケン,シズオカシスルガク,アオサワ,静岡県,静岡市駿河区,青沢
4228012,シズオカケン,シズオカシスルガク,アゴ,静岡県,静岡市駿河区,安居
4228031,シズオカケン,シズオカシスルガク,アリアケチョウ,静岡県,静岡市駿河区,有明町
4228005,シズオカケン,シズオカシスルガク,イケダ,静岡県,静岡市駿河区,池田
4228042,シズオカケン,シズオカシスルガク,イシダ,静岡県,静岡市駿河区,石田
4228066,シズオカケン,シズオカシスルガク,イズミチョウ,静岡県,静岡市駿河区,泉町
4228062,シズオカケン,シズオカシスルガク,イナガワ,静岡県,静岡市駿河区,稲川
4228032,シズオカケン,シズオカシスルガク,ウトウ,静岡県,静岡市駿河区,有東
4228075,シズオカケン,シズオカシスルガク,オオツボチョウ,静岡県,静岡市駿河区,大坪町
4228017,シズオカケン,シズオカシスルガク,オオヤ,静岡県,静岡市駿河区,大谷
4228072,シズオカケン,シズオカシスルガク,オグロ,静岡県,静岡市駿河区,小黒
4228021,シズオカケン,シズオカシスルガク,オシカ,静岡県,静岡市駿河区,小鹿
4228022,シズオカケン,シズオカシスルガク,オンダバラ,静岡県,静岡市駿河区,恩田原
4228023,シズオカケン,シズオカシスルガク,カタヤマ,静岡県,静岡市駿河区,片山
4228004,シズオカケン,シズオカシスルガク,クニヨシダ,静岡県,静岡市駿河区,国吉田
4228078,シズオカケン,シズオカシスルガク,サツキチョウ,静岡県,静岡市駿河区,さつき町
4228036,シズオカケン,シズオカシスルガク,シキジ,静岡県,静岡市駿河区,敷地
4228037,シズオカケン,シズオカシスルガク,シモジマ,静岡県,静岡市駿河区,下島
4228064,シズオカケン,シズオカシスルガク,シンカワ,静岡県,静岡市駿河区,新川
4228034,シズオカケン,シズオカシスルガク,タカマツ,静岡県,静岡市駿河区,高松
4228056,シズオカケン,シズオカシスルガク,ツシマチョウ,静岡県,静岡市駿河区,津島町
4228071,シズオカケン,シズオカシスルガク,トヨハラチョウ,静岡県,静岡市駿河区,豊原町
4228033,シズオカケン,シズオカシスルガク,トロ,静岡県,静岡市駿河区,登呂
4228046,シズオカケン,シズオカシスルガク,ナカジマ,静岡県,静岡市駿河区,中島
4228041,シズオカケン,シズオカシスルガク,ナカダ,静岡県,静岡市駿河区,中田
4228043,シズオカケン,シズオカシスルガク,ナカダホンチョウ,静岡県,静岡市駿河区,中田本町
4228051,シズオカケン,シズオカシスルガク,ナカノシンデン,静岡県,静岡市駿河区,中野新田
4228058,シズオカケン,シズオカシスルガク,ナカハラ,静岡県,静岡市駿河区,中原
4228015,シズオカケン,シズオカシスルガク,ナカヒラマツ,静岡県,静岡市駿河区,中平松
