4510000,アイチケン,ナゴヤシニシク,イカニケイサイガナイバアイ,愛知県,名古屋市西区,以下に掲載がない場合
4500007,アイチケン,ナゴヤシナカムラク,ササシマチョウ,愛知県,名古屋市中村区,笹島町
4500006,アイチケン,ナゴヤシナカムラク,シモヒロイチョウ,愛知県,名古屋市中村区,下広井町
4500001,アイチケン,ナゴヤシナカムラク,ナゴノ,愛知県,名古屋市中村区,那古野
4500005,アイチケン,ナゴヤシナカムラク,ニシヒオキ,愛知県,名古屋市中村区,西日置
4500004,アイチケン,ナゴヤシナカムラク,マツシゲチョウ,愛知県,名古屋市中村区,松重町
4506690,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（チカイ・カイソウフメイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（地階・階層不明）
4506601,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（１カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（１階）
4506602,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（２カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（２階）
4506603,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（３カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（３階）
4506604,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（４カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（４階）
4506605,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（５カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（５階）
4506606,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（６カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（６階）
4506607,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（７カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（７階）
4506608,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（８カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（８階）
4506609,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（９カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（９階）
4506610,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（１０カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（１０階）
4506611,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（１１カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（１１階）
4506612,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（１２カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（１２階）
4506613,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（１３カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（１３階）
4506614,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（１４カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（１４階）
4506615,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（１５カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（１５階）
4506616,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（１６カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（１６階）
4506617,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（１７カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（１７階）
4506618,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（１８カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（１８階）
4506619,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（１９カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（１９階）
4506620,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（２０カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（２０階）
4506622,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（２２カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（２２階）
4506623,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（２３カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（２３階）
4506624,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（２４カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（２４階）
4506625,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（２５カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（２５階）
4506626,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（２６カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（２６階）
4506627,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（２７カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（２７階）
4506628,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（２８カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（２８階）
4506629,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（２９カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（２９階）
4506630,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（３０カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（３０階）
4506631,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（３１カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（３１階）
4506632,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（３２カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（３２階）
4506633,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（３３カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（３３階）
4506634,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（３４カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（３４階）
4506635,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（３５カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（３５階）
4506636,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（３６カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（３６階）
4506637,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（３７カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（３７階）
4506638,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（３８カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（３８階）
4506639,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（３９カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（３９階）
4506640,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（４０カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（４０階）
4506621,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（２１カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（２１階）
4506642,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（４２カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（４２階）
4506643,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（４３カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（４３階）
4506641,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（４１カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（４１階）
4506645,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（４５カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（４５階）
4506646,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（４６カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（４６階）
4506090,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（チカイ・カイソウフメイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（地階・階層不明）
4506001,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（１カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（１階）
4506002,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（２カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（２階）
4506003,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（３カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（３階）
4506004,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（４カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（４階）
4506644,アイチケン,ナゴヤシナカムラク,メイエキジェイアールゲートタワー（４４カイ）,愛知県,名古屋市中村区,名駅ＪＲゲートタワー（４４階）
4506006,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（６カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（６階）
4506007,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（７カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（７階）
4506005,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（５カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（５階）
4506009,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（９カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（９階）
4506010,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（１０カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（１０階）
4506011,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（１１カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（１１階）
4506012,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（１２カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（１２階）
4506013,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（１３カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（１３階）
4506014,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（１４カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（１４階）
4506015,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（１５カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（１５階）
4506016,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（１６カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（１６階）
