5032341,ギフケン,アンパチグンゴウドチョウ,ニシザクラ,岐阜県,安八郡神戸町,西座倉
5010501,ギフケン,イビグンオオノチョウ,イナドミ,岐阜県,揖斐郡大野町,稲富
5010564,ギフケン,イビグンオオノチョウ,アソウ,岐阜県,揖斐郡大野町,麻生
5010522,ギフケン,イビグンオオノチョウ,アイバ,岐阜県,揖斐郡大野町,相羽
5010511,ギフケン,イビグンオオノチョウ,イナバタ,岐阜県,揖斐郡大野町,稲畑
5010513,ギフケン,イビグンオオノチョウ,オオノ,岐阜県,揖斐郡大野町,大野
5010561,ギフケン,イビグンオオノチョウ,ウシボラ,岐阜県,揖斐郡大野町,牛洞
5010552,ギフケン,イビグンオオノチョウ,オオエビ,岐阜県,揖斐郡大野町,大衣斐
5010535,ギフケン,イビグンオオノチョウ,カノウ,岐阜県,揖斐郡大野町,加納
5010524,ギフケン,イビグンオオノチョウ,グゲ,岐阜県,揖斐郡大野町,郡家
5010500,ギフケン,イビグンオオノチョウ,イカニケイサイガナイバアイ,岐阜県,揖斐郡大野町,以下に掲載がない場合
5010512,ギフケン,イビグンオオノチョウ,カンダケ,岐阜県,揖斐郡大野町,上秋
5010555,ギフケン,イビグンオオノチョウ,クゴウ,岐阜県,揖斐郡大野町,公郷
5010554,ギフケン,イビグンオオノチョウ,ゴノリ,岐阜県,揖斐郡大野町,五之里
5010551,ギフケン,イビグンオオノチョウ,コエビ,岐阜県,揖斐郡大野町,小衣斐
5010521,ギフケン,イビグンオオノチョウ,クロノ,岐阜県,揖斐郡大野町,黒野
5010531,ギフケン,イビグンオオノチョウ,カミイソ,岐阜県,揖斐郡大野町,上磯
5010523,ギフケン,イビグンオオノチョウ,シモガタ,岐阜県,揖斐郡大野町,下方
5010534,ギフケン,イビグンオオノチョウ,シモザグラ,岐阜県,揖斐郡大野町,下座倉
5010503,ギフケン,イビグンオオノチョウ,ジナイ,岐阜県,揖斐郡大野町,寺内
5010532,ギフケン,イビグンオオノチョウ,シモイソ,岐阜県,揖斐郡大野町,下磯
5010563,ギフケン,イビグンオオノチョウ,セコ,岐阜県,揖斐郡大野町,瀬古
5010504,ギフケン,イビグンオオノチョウ,ノ,岐阜県,揖斐郡大野町,野
5010565,ギフケン,イビグンオオノチョウ,ナカノモト,岐阜県,揖斐郡大野町,中之元
5010514,ギフケン,イビグンオオノチョウ,ニシガタ,岐阜県,揖斐郡大野町,西方
5010502,ギフケン,イビグンオオノチョウ,フルカワ,岐阜県,揖斐郡大野町,古川
5010533,ギフケン,イビグンオオノチョウ,ホンジョウ,岐阜県,揖斐郡大野町,本庄
5010562,ギフケン,イビグンオオノチョウ,マツヤマ,岐阜県,揖斐郡大野町,松山
5010553,ギフケン,イビグンオオノチョウ,ミナミガタ,岐阜県,揖斐郡大野町,南方
5010556,ギフケン,イビグンオオノチョウ,リョウケ,岐阜県,揖斐郡大野町,領家
5010525,ギフケン,イビグンオオノチョウ,ロクリ,岐阜県,揖斐郡大野町,六里
5010515,ギフケン,イビグンオオノチョウ,サクラダイモン,岐阜県,揖斐郡大野町,桜大門
