5050130,ギフケン,カニシ,カネヤマ,岐阜県,可児市,兼山
5050115,ギフケン,カニグンミタケチョウ,イジリ,岐阜県,可児郡御嵩町,井尻
5050100,ギフケン,カニグンミタケチョウ,イカニケイサイガナイバアイ,岐阜県,可児郡御嵩町,以下に掲載がない場合
5050104,ギフケン,カニグンミタケチョウ,ウトウザカ,岐阜県,可児郡御嵩町,謡坂
5050101,ギフケン,カニグンミタケチョウ,オオクゴ,岐阜県,可児郡御嵩町,大久後
5050106,ギフケン,カニグンミタケチョウ,オバラ,岐阜県,可児郡御嵩町,小原
5050126,ギフケン,カニグンミタケチョウ,カミエド,岐阜県,可児郡御嵩町,上恵土
5050122,ギフケン,カニグンミタケチョウ,ゴウド,岐阜県,可児郡御嵩町,顔戸
5050107,ギフケン,カニグンミタケチョウ,カミノゴウ,岐阜県,可児郡御嵩町,上之郷
5050108,ギフケン,カニグンミタケチョウ,コワサワ,岐阜県,可児郡御嵩町,小和沢
5050105,ギフケン,カニグンミタケチョウ,サイト,岐阜県,可児郡御嵩町,西洞
5050111,ギフケン,カニグンミタケチョウ,シヅキ,岐阜県,可児郡御嵩町,次月
5050113,ギフケン,カニグンミタケチョウ,シュク,岐阜県,可児郡御嵩町,宿
5050103,ギフケン,カニグンミタケチョウ,ツバシ,岐阜県,可児郡御嵩町,津橋
5050121,ギフケン,カニグンミタケチョウ,ナカ,岐阜県,可児郡御嵩町,中
5050114,ギフケン,カニグンミタケチョウ,ナカギリ,岐阜県,可児郡御嵩町,中切
5050125,ギフケン,カニグンミタケチョウ,フシミ,岐阜県,可児郡御嵩町,伏見
5050102,ギフケン,カニグンミタケチョウ,マエザワ,岐阜県,可児郡御嵩町,前沢
5050112,ギフケン,カニグンミタケチョウ,ミザノ,岐阜県,可児郡御嵩町,美佐野
5050116,ギフケン,カニグンミタケチョウ,ミタケ,岐阜県,可児郡御嵩町,御嵩
5050124,ギフケン,カニグンミタケチョウ,ヒエ,岐阜県,可児郡御嵩町,比衣
5050123,ギフケン,カニグンミタケチョウ,フルヤシキ,岐阜県,可児郡御嵩町,古屋敷
