5170081,ミエケン,イセシ,アサマチョウ（イケノウラ、ミノセ）,三重県,伊勢市,朝熊町（池の浦、箕曲瀬）
5170000,ミエケン,トバシ,イカニケイサイガナイバアイ,三重県,鳥羽市,以下に掲載がない場合
5170033,ミエケン,トバシ,アダコチョウ,三重県,鳥羽市,畔蛸町
5170021,ミエケン,トバシ,アラシマチョウ,三重県,鳥羽市,安楽島町
5170026,ミエケン,トバシ,イジカチョウ,三重県,鳥羽市,石鏡町
5170012,ミエケン,トバシ,イケガミチョウ,三重県,鳥羽市,池上町
5170041,ミエケン,トバシ,イワクラチョウ,三重県,鳥羽市,岩倉町
5170022,ミエケン,トバシ,オアキヒガシマチ,三重県,鳥羽市,大明東町
5170025,ミエケン,トバシ,ウラムラチョウ,三重県,鳥羽市,浦村町
5170023,ミエケン,トバシ,オアキニシマチ,三重県,鳥羽市,大明西町
5170015,ミエケン,トバシ,オハマチョウ,三重県,鳥羽市,小浜町
5170014,ミエケン,トバシ,カタカミチョウ,三重県,鳥羽市,堅神町
5170032,ミエケン,トバシ,オウサツチョウ,三重県,鳥羽市,相差町
5170035,ミエケン,トバシ,カタコチョウ,三重県,鳥羽市,堅子町
5170031,ミエケン,トバシ,クザキチョウ,三重県,鳥羽市,国崎町
5170001,ミエケン,トバシ,カミジマチョウ,三重県,鳥羽市,神島町
5170044,ミエケン,トバシ,コウチチョウ,三重県,鳥羽市,河内町
5170046,ミエケン,トバシ,サチガオカ,三重県,鳥羽市,幸丘
5170043,ミエケン,トバシ,シラキチョウ,三重県,鳥羽市,白木町
5170005,ミエケン,トバシ,サカテチョウ,三重県,鳥羽市,坂手町
5170004,ミエケン,トバシ,スガシマチョウ,三重県,鳥羽市,菅島町
5170024,ミエケン,トバシ,タカオカチョウ,三重県,鳥羽市,高丘町
5170034,ミエケン,トバシ,センガチョウ,三重県,鳥羽市,千賀町
5170002,ミエケン,トバシ,トウシチョウ,三重県,鳥羽市,答志町
5170045,ミエケン,トバシ,フナツチョウ,三重県,鳥羽市,船津町
5170011,ミエケン,トバシ,トバ,三重県,鳥羽市,鳥羽
5170042,ミエケン,トバシ,マツオチョウ,三重県,鳥羽市,松尾町
5170013,ミエケン,トバシ,ヤナイチョウ,三重県,鳥羽市,屋内町
5170047,ミエケン,トバシ,ワカスギチョウ,三重県,鳥羽市,若杉町
5170003,ミエケン,トバシ,モモトリチョウ,三重県,鳥羽市,桃取町
