6471271,ナラケン,ヨシノグントツカワムラ,タケトウ,奈良県,吉野郡十津川村,竹筒
6471216,ワカヤマケン,シングウシ,クマノガワチョウアイス,和歌山県,新宮市,熊野川町相須
6471214,ワカヤマケン,シングウシ,クマノガワチョウアカギ,和歌山県,新宮市,熊野川町赤木
6471207,ワカヤマケン,シングウシ,クマノガワチョウウネハタ,和歌山県,新宮市,熊野川町畝畑
6471203,ワカヤマケン,シングウシ,クマノガワチョウオオヤマ,和歌山県,新宮市,熊野川町大山
6471204,ワカヤマケン,シングウシ,クマノガワチョウカマヅカ,和歌山県,新宮市,熊野川町鎌塚
6471201,ワカヤマケン,シングウシ,クマノガワチョウカミナガイ,和歌山県,新宮市,熊野川町上長井
6471233,ワカヤマケン,シングウシ,クマノガワチョウクジュウ,和歌山県,新宮市,熊野川町九重
6471223,ワカヤマケン,シングウシ,クマノガワチョウササビ,和歌山県,新宮市,熊野川町篠尾
6471234,ワカヤマケン,シングウシ,クマノガワチョウシタキ,和歌山県,新宮市,熊野川町四滝
6471232,ワカヤマケン,シングウシ,クマノガワチョウシマヅ,和歌山県,新宮市,熊野川町嶋津
6471205,ワカヤマケン,シングウシ,クマノガワチョウタキモト,和歌山県,新宮市,熊野川町滝本
6471212,ワカヤマケン,シングウシ,クマノガワチョウタナゴ,和歌山県,新宮市,熊野川町田長
6471231,ワカヤマケン,シングウシ,クマノガワチョウタマキグチ,和歌山県,新宮市,熊野川町玉置口
6471206,ワカヤマケン,シングウシ,クマノガワチョウニシ,和歌山県,新宮市,熊野川町西
6471221,ワカヤマケン,シングウシ,クマノガワチョウニシシキヤ,和歌山県,新宮市,熊野川町西敷屋
6471213,ワカヤマケン,シングウシ,クマノガワチョウノキヤマモト,和歌山県,新宮市,熊野川町能城山本
6471202,ワカヤマケン,シングウシ,クマノガワチョウヒガシ,和歌山県,新宮市,熊野川町東
6471222,ワカヤマケン,シングウシ,クマノガワチョウヒガシシキヤ,和歌山県,新宮市,熊野川町東敷屋
6471211,ワカヤマケン,シングウシ,クマノガワチョウヒタリ,和歌山県,新宮市,熊野川町日足
6471235,ワカヤマケン,シングウシ,クマノガワチョウミヤイ,和歌山県,新宮市,熊野川町宮井
6471215,ワカヤマケン,シングウシ,クマノガワチョウムクノイ,和歌山県,新宮市,熊野川町椋井
