6511401,ヒョウゴケン,コウベシキタク,アリマチョウ,兵庫県,神戸市北区,有馬町
6511413,ヒョウゴケン,ニシノミヤシ,キタロッコウダイ,兵庫県,西宮市,北六甲台
6511432,ヒョウゴケン,ニシノミヤシ,スミレダイ,兵庫県,西宮市,すみれ台
6511421,ヒョウゴケン,ニシノミヤシ,ヤマグチチョウカミヤマグチ,兵庫県,西宮市,山口町上山口
6511422,ヒョウゴケン,ニシノミヤシ,ヤマグチチョウキンセンジ,兵庫県,西宮市,山口町金仙寺
6511424,ヒョウゴケン,ニシノミヤシ,ヤマグチチョウコウカエン,兵庫県,西宮市,山口町香花園
6511412,ヒョウゴケン,ニシノミヤシ,ヤマグチチョウシモヤマグチ,兵庫県,西宮市,山口町下山口
6511411,ヒョウゴケン,ニシノミヤシ,ヤマグチチョウナライ,兵庫県,西宮市,山口町名来
6511433,ヒョウゴケン,ニシノミヤシ,ヤマグチチョウナカノ,兵庫県,西宮市,山口町中野
6511431,ヒョウゴケン,ニシノミヤシ,ヤマグチチョウハンシンリュウツウセンター,兵庫県,西宮市,山口町阪神流通センター
6511423,ヒョウゴケン,ニシノミヤシ,ヤマグチチョウフナサカ,兵庫県,西宮市,山口町船坂
