6691251,ヒョウゴケン,ニシノミヤシ,シオセチョウナジオ（４２０５−１、５２０５、５３１３−２０、５３１３−３３、５３１３−３５バンチ）,兵庫県,西宮市,塩瀬町名塩（４２０５−１、５２０５、５３１３−２０、５３１３−３３、５３１３−３５番地）
6691211,ヒョウゴケン,タカラヅカシ,オオハラノ,兵庫県,宝塚市,大原野
6691202,ヒョウゴケン,タカラヅカシ,カミサソリ,兵庫県,宝塚市,上佐曽利
6691241,ヒョウゴケン,タカラヅカシ,キリハタ（ナガオサン１９−６４）,兵庫県,宝塚市,切畑（長尾山１９−６４）
6691241,ヒョウゴケン,タカラヅカシ,キリハタ（ソノタ）,兵庫県,宝塚市,切畑（その他）
6691201,ヒョウゴケン,タカラヅカシ,コウバコシンデン,兵庫県,宝塚市,香合新田
6691222,ヒョウゴケン,タカラヅカシ,サカイノ,兵庫県,宝塚市,境野
6691205,ヒョウゴケン,タカラヅカシ,シバツジシンデン,兵庫県,宝塚市,芝辻新田
6691203,ヒョウゴケン,タカラヅカシ,シモサソリ,兵庫県,宝塚市,下佐曽利
6691231,ヒョウゴケン,タカラヅカシ,タマセ,兵庫県,宝塚市,玉瀬
6691204,ヒョウゴケン,タカラヅカシ,ナガタニ,兵庫県,宝塚市,長谷
6691221,ヒョウゴケン,タカラヅカシ,ハズ,兵庫県,宝塚市,波豆
