6780141,ヒョウゴケン,アイオイシ,アイオイ（５１３３バンチ２−５１８７バンチ、５３１６バンチ１−５３１６バンチ１６７）,兵庫県,相生市,相生（５１３３番地２〜５１８７番地、５３１６番地１〜５３１６番地１６７）
6780175,ヒョウゴケン,アコウシ,キタノナカ,兵庫県,赤穂市,北野中
6780165,ヒョウゴケン,アコウシ,キヅ,兵庫県,赤穂市,木津
6780171,ヒョウゴケン,アコウシ,コウノ,兵庫県,赤穂市,高野
6780172,ヒョウゴケン,アコウシ,サコシ,兵庫県,赤穂市,坂越
6780162,ヒョウゴケン,アコウシ,スセ,兵庫県,赤穂市,周世
6780163,ヒョウゴケン,アコウシ,タカオ,兵庫県,赤穂市,高雄
6780161,ヒョウゴケン,アコウシ,ナカヤマ,兵庫県,赤穂市,中山
6780173,ヒョウゴケン,アコウシ,ハマイチ,兵庫県,赤穂市,浜市
6780176,ヒョウゴケン,アコウシ,ミナミノナカ,兵庫県,赤穂市,南野中
6780164,ヒョウゴケン,アコウシ,メサカ,兵庫県,赤穂市,目坂
6780174,ヒョウゴケン,アコウシ,マナゴ,兵庫県,赤穂市,砂子
6780166,ヒョウゴケン,アコウシ,マトノ,兵庫県,赤穂市,真殿
