7730070,トクシマケン,トクシマシ,オオバラチョウ（コミコ、コミコヤマ）,徳島県,徳島市,大原町（小神子、小神子山）
7730000,トクシマケン,コマツシマシ,イカニケイサイガナイバアイ,徳島県,小松島市,以下に掲載がない場合
7730024,トクシマケン,コマツシマシ,アイシンデンチョウ,徳島県,小松島市,間新田町
7730021,トクシマケン,コマツシマシ,アカイシチョウ,徳島県,小松島市,赤石町
7730014,トクシマケン,コマツシマシ,エダチョウ,徳島県,小松島市,江田町
7730022,トクシマケン,コマツシマシ,オオハヤシチョウ,徳島県,小松島市,大林町
7730007,トクシマケン,コマツシマシ,カナイソチョウ,徳島県,小松島市,金磯町
7730002,トクシマケン,コマツシマシ,カンダセチョウ,徳島県,小松島市,神田瀬町
7730018,トクシマケン,コマツシマシ,クシブチチョウ,徳島県,小松島市,櫛淵町
7730001,トクシマケン,コマツシマシ,コマツシマチョウ,徳島県,小松島市,小松島町
7730023,トクシマケン,コマツシマシ,サカノチョウ,徳島県,小松島市,坂野町
7730009,トクシマケン,コマツシマシ,シボウチョウ,徳島県,小松島市,芝生町
7730012,トクシマケン,コマツシマシ,タウラチョウ,徳島県,小松島市,田浦町
7730017,トクシマケン,コマツシマシ,タツエチョウ,徳島県,小松島市,立江町
7730008,トクシマケン,コマツシマシ,タノチョウ,徳島県,小松島市,田野町
7730015,トクシマケン,コマツシマシ,チュウデンチョウ,徳島県,小松島市,中田町
7730019,トクシマケン,コマツシマシ,トヨウラチョウ,徳島県,小松島市,豊浦町
7730016,トクシマケン,コマツシマシ,ナカノゴウチョウ,徳島県,小松島市,中郷町
7730011,トクシマケン,コマツシマシ,ニイミチョウ,徳島県,小松島市,新居見町
7730010,トクシマケン,コマツシマシ,ヒガイノチョウ,徳島県,小松島市,日開野町
7730004,トクシマケン,コマツシマシ,ホリカワチョウ,徳島県,小松島市,堀川町
7730013,トクシマケン,コマツシマシ,マエバラチョウ,徳島県,小松島市,前原町
7730003,トクシマケン,コマツシマシ,マツシマチョウ,徳島県,小松島市,松島町
7730005,トクシマケン,コマツシマシ,ミナミコマツシマチョウ,徳島県,小松島市,南小松島町
7730006,トクシマケン,コマツシマシ,ヨコスチョウ,徳島県,小松島市,横須町
7730031,トクシマケン,コマツシマシ,ワダジマチョウ（マツダシンデン）,徳島県,小松島市,和田島町（松田新田）
7730025,トクシマケン,コマツシマシ,ワダジマチョウ（ソノタ）,徳島県,小松島市,和田島町（その他）
7730020,トクシマケン,コマツシマシ,ワダツビラキチョウ,徳島県,小松島市,和田津開町
