7920080,エヒメケン,イマバリシ,ミヤクボチョウシサカジマ,愛媛県,今治市,宮窪町四阪島
7920000,エヒメケン,ニイハマシ,イカニケイサイガナイバアイ,愛媛県,新居浜市,以下に掲載がない場合
7920897,エヒメケン,ニイハマシ,アシマオツ,愛媛県,新居浜市,阿島乙
7920896,エヒメケン,ニイハマシ,アシマ（ソノタ）,愛媛県,新居浜市,阿島（その他）
7920013,エヒメケン,ニイハマシ,イズミイケチョウ,愛媛県,新居浜市,泉池町
7920021,エヒメケン,ニイハマシ,イズミミヤチョウ,愛媛県,新居浜市,泉宮町
7920002,エヒメケン,ニイハマシ,イソウラチョウ,愛媛県,新居浜市,磯浦町
7920025,エヒメケン,ニイハマシ,イックチョウ,愛媛県,新居浜市,一宮町
7920866,エヒメケン,ニイハマシ,ウダカチョウ,愛媛県,新居浜市,宇高町
7920046,エヒメケン,ニイハマシ,ウワバラ,愛媛県,新居浜市,上原
7920005,エヒメケン,ニイハマシ,エグチチョウ,愛媛県,新居浜市,江口町
7920008,エヒメケン,ニイハマシ,オウジチョウ,愛媛県,新居浜市,王子町
7920015,エヒメケン,ニイハマシ,オオエチョウ,愛媛県,新居浜市,大江町
7920891,エヒメケン,ニイハマシ,オオシマ,愛媛県,新居浜市,大島
7920060,エヒメケン,ニイハマシ,オオジョウイン,愛媛県,新居浜市,大生院
7920883,エヒメケン,ニイハマシ,オチガミチョウ,愛媛県,新居浜市,落神町
7920047,エヒメケン,ニイハマシ,オクラチョウ,愛媛県,新居浜市,御蔵町
7920071,エヒメケン,ニイハマシ,カネコヘイ,愛媛県,新居浜市,金子丙
7920824,エヒメケン,ニイハマシ,カミイズミチョウ,愛媛県,新居浜市,上泉町
7920851,エヒメケン,ニイハマシ,カンノンバラチョウ,愛媛県,新居浜市,観音原町
7920801,エヒメケン,ニイハマシ,キクモトチョウ,愛媛県,新居浜市,菊本町
7920826,エヒメケン,ニイハマシ,キコウジチョウ,愛媛県,新居浜市,喜光地町
7920815,エヒメケン,ニイハマシ,キシノウエチョウ,愛媛県,新居浜市,岸の上町
7920842,エヒメケン,ニイハマシ,キタウチチョウ,愛媛県,新居浜市,北内町
7920004,エヒメケン,ニイハマシ,キタシンマチ,愛媛県,新居浜市,北新町
7920885,エヒメケン,ニイハマシ,キヨズミチョウ,愛媛県,新居浜市,清住町
7920890,エヒメケン,ニイハマシ,クッサキ,愛媛県,新居浜市,楠崎
7920026,エヒメケン,ニイハマシ,クボタチョウ,愛媛県,新居浜市,久保田町
7920892,エヒメケン,ニイハマシ,クロシマ,愛媛県,新居浜市,黒島
7920884,エヒメケン,ニイハマシ,コウザト,愛媛県,新居浜市,神郷
7920006,エヒメケン,ニイハマシ,コウチチョウ,愛媛県,新居浜市,河内町
7920853,エヒメケン,ニイハマシ,コウミョウジ,愛媛県,新居浜市,光明寺
7920854,エヒメケン,ニイハマシ,コクリョウ,愛媛県,新居浜市,国領
7920822,エヒメケン,ニイハマシ,コトブキチョウ,愛媛県,新居浜市,寿町
7920886,エヒメケン,ニイハマシ,ゴウ（チョウメ）,愛媛県,新居浜市,郷（丁目）
7920895,エヒメケン,ニイハマシ,ゴウオツ,愛媛県,新居浜市,郷乙
7920894,エヒメケン,ニイハマシ,ゴウ（ソノタ）,愛媛県,新居浜市,郷（その他）
7920831,エヒメケン,ニイハマシ,サイレンジチョウ,愛媛県,新居浜市,西連寺町
7920812,エヒメケン,ニイハマシ,サカイチョウ,愛媛県,新居浜市,坂井町
7920865,エヒメケン,ニイハマシ,サクラギチョウ,愛媛県,新居浜市,桜木町
7920862,エヒメケン,ニイハマシ,サワヅチョウ,愛媛県,新居浜市,沢津町
7920023,エヒメケン,ニイハマシ,シゲモトチョウ,愛媛県,新居浜市,繁本町
7920855,エヒメケン,ニイハマシ,シッポウダイチョウ,愛媛県,新居浜市,七宝台町
7920864,エヒメケン,ニイハマシ,シノノメチョウ,愛媛県,新居浜市,東雲町
7920836,エヒメケン,ニイハマシ,シノバチョウ,愛媛県,新居浜市,篠場町
7920861,エヒメケン,ニイハマシ,シミズチョウ,愛媛県,新居浜市,清水町
7920813,エヒメケン,ニイハマシ,シモイズミチョウ,愛媛県,新居浜市,下泉町
7920811,エヒメケン,ニイハマシ,ショウナイチョウ,愛媛県,新居浜市,庄内町
7920814,エヒメケン,ニイハマシ,シロシタチョウ,愛媛県,新居浜市,城下町
7920802,エヒメケン,ニイハマシ,シンスカチョウ,愛媛県,新居浜市,新須賀町
7920003,エヒメケン,ニイハマシ,シンデンチョウ,愛媛県,新居浜市,新田町
7920857,エヒメケン,ニイハマシ,スミノ,愛媛県,新居浜市,角野
7920844,エヒメケン,ニイハマシ,スミノシンデンチョウ,愛媛県,新居浜市,角野新田町
7920821,エヒメケン,ニイハマシ,セトチョウ,愛媛県,新居浜市,瀬戸町
7920001,エヒメケン,ニイハマシ,ソウビラキチョウ,愛媛県,新居浜市,惣開町
7920847,エヒメケン,ニイハマシ,ダイエイヤマ,愛媛県,新居浜市,大永山
7920031,エヒメケン,ニイハマシ,タカギチョウ,愛媛県,新居浜市,高木町
7920887,エヒメケン,ニイハマシ,タカタ,愛媛県,新居浜市,高田
7920867,エヒメケン,ニイハマシ,タカツチョウ,愛媛県,新居浜市,高津町
7920034,エヒメケン,ニイハマシ,タキノミヤチョウ,愛媛県,新居浜市,滝の宮町
7920846,エヒメケン,ニイハマシ,タツカワチョウ（タツカワヤマヲフクム）,愛媛県,新居浜市,立川町（立川山を含む）
7920804,エヒメケン,ニイハマシ,タドコロチョウ,愛媛県,新居浜市,田所町
7920845,エヒメケン,ニイハマシ,タネガワチョウ,愛媛県,新居浜市,種子川町
7920848,エヒメケン,ニイハマシ,タネガワヤマ,愛媛県,新居浜市,種子川山
7920888,エヒメケン,ニイハマシ,タノウエ,愛媛県,新居浜市,田の上
7920893,エヒメケン,ニイハマシ,タキハマ,愛媛県,新居浜市,多喜浜
7920022,エヒメケン,ニイハマシ,トクツネチョウ,愛媛県,新居浜市,徳常町
7920823,エヒメケン,ニイハマシ,トヤマチョウ,愛媛県,新居浜市,外山町
7920043,エヒメケン,ニイハマシ,ツチハシ,愛媛県,新居浜市,土橋
7920852,エヒメケン,ニイハマシ,トウダ,愛媛県,新居浜市,東田
7920841,エヒメケン,ニイハマシ,ナカスジチョウ,愛媛県,新居浜市,中筋町
7920044,エヒメケン,ニイハマシ,ナカムラ,愛媛県,新居浜市,中村
7920834,エヒメケン,ニイハマシ,ナカニシチョウ,愛媛県,新居浜市,中西町
7920041,エヒメケン,ニイハマシ,ナカムラマツギ,愛媛県,新居浜市,中村松木
7920072,エヒメケン,ニイハマシ,ニイハマオツ,愛媛県,新居浜市,新居浜乙
7920832,エヒメケン,ニイハマシ,ニシイズミチョウ,愛媛県,新居浜市,西泉町
7920874,エヒメケン,ニイハマシ,ナガイワチョウ,愛媛県,新居浜市,長岩町
7920827,エヒメケン,ニイハマシ,ニシキコウジチョウ,愛媛県,新居浜市,西喜光地町
7920011,エヒメケン,ニイハマシ,ニシバラチョウ,愛媛県,新居浜市,西原町
7920014,エヒメケン,ニイハマシ,ニシマチ,愛媛県,新居浜市,西町
7920898,エヒメケン,ニイハマシ,ニナイチョウ,愛媛県,新居浜市,荷内町
7920035,エヒメケン,ニイハマシ,ニシノドイチョウ,愛媛県,新居浜市,西の土居町
7920050,エヒメケン,ニイハマシ,ハギュウ,愛媛県,新居浜市,萩生
7920871,エヒメケン,ニイハマシ,ハチマン,愛媛県,新居浜市,八幡
7920873,エヒメケン,ニイハマシ,ハブ（バンチ）,愛媛県,新居浜市,垣生（番地）
7920803,エヒメケン,ニイハマシ,ヒラカタチョウ,愛媛県,新居浜市,平形町
7920872,エヒメケン,ニイハマシ,ハブ（チョウメ）,愛媛県,新居浜市,垣生（丁目）
7920856,エヒメケン,ニイハマシ,フナキ,愛媛県,新居浜市,船木
7920009,エヒメケン,ニイハマシ,ホシゴエチョウ,愛媛県,新居浜市,星越町
7920825,エヒメケン,ニイハマシ,ホシバラチョウ,愛媛県,新居浜市,星原町
7920042,エヒメケン,ニイハマシ,ホンゴウ,愛媛県,新居浜市,本郷
7920007,エヒメケン,ニイハマシ,マエダチョウ,愛媛県,新居浜市,前田町
7920032,エヒメケン,ニイハマシ,マサエダチョウ,愛媛県,新居浜市,政枝町
7920882,エヒメケン,ニイハマシ,マタノ,愛媛県,新居浜市,又野
7920829,エヒメケン,ニイハマシ,マツギチョウ,愛媛県,新居浜市,松木町
7920868,エヒメケン,ニイハマシ,マツノキチョウ,愛媛県,新居浜市,松の木町
7920828,エヒメケン,ニイハマシ,マツバラチョウ,愛媛県,新居浜市,松原町
7920881,エヒメケン,ニイハマシ,マツミコ,愛媛県,新居浜市,松神子
7920016,エヒメケン,ニイハマシ,ミナトマチ,愛媛県,新居浜市,港町
7920863,エヒメケン,ニイハマシ,ミナミコマツバラチョウ,愛媛県,新居浜市,南小松原町
7920024,エヒメケン,ニイハマシ,ミヤニシチョウ,愛媛県,新居浜市,宮西町
7920833,エヒメケン,ニイハマシ,ミヤバラチョウ,愛媛県,新居浜市,宮原町
7920805,エヒメケン,ニイハマシ,ヤグモチョウ,愛媛県,新居浜市,八雲町
7920837,エヒメケン,ニイハマシ,ヤマダチョウ,愛媛県,新居浜市,山田町
7920835,エヒメケン,ニイハマシ,ヤマネチョウ,愛媛県,新居浜市,山根町
7920012,エヒメケン,ニイハマシ,ナカスカチョウ,愛媛県,新居浜市,中須賀町
7920843,エヒメケン,ニイハマシ,ヨシオカチョウ,愛媛県,新居浜市,吉岡町
7920017,エヒメケン,ニイハマシ,ワカミズチョウ,愛媛県,新居浜市,若水町
7920033,エヒメケン,ニイハマシ,ヨコズイチョウ,愛媛県,新居浜市,横水町
7920045,エヒメケン,ニイハマシ,ナカハギチョウ,愛媛県,新居浜市,中萩町
