8000306,フクオカケン,キタキュウシュウシコクラミナミク,クウコウキタマチ,福岡県,北九州市小倉南区,空港北町
8000300,フクオカケン,ミヤコグンカンダマチ,イカニケイサイガナイバアイ,福岡県,京都郡苅田町,以下に掲載がない場合
8000366,フクオカケン,ミヤコグンカンダマチ,アマクボ,福岡県,京都郡苅田町,雨窪
8000344,フクオカケン,ミヤコグンカンダマチ,アラツ,福岡県,京都郡苅田町,新津
8000313,フクオカケン,ミヤコグンカンダマチ,イソハマチョウ,福岡県,京都郡苅田町,磯浜町
8000337,フクオカケン,ミヤコグンカンダマチ,イナミツ,福岡県,京都郡苅田町,稲光
8000354,フクオカケン,ミヤコグンカンダマチ,アツマリ,福岡県,京都郡苅田町,集
8000331,フクオカケン,ミヤコグンカンダマチ,オカザキ,福岡県,京都郡苅田町,岡崎
8000353,フクオカケン,ミヤコグンカンダマチ,オグラ,福岡県,京都郡苅田町,尾倉
8000343,フクオカケン,ミヤコグンカンダマチ,カミカタシマ,福岡県,京都郡苅田町,上片島
8000365,フクオカケン,ミヤコグンカンダマチ,カンダ,福岡県,京都郡苅田町,苅田
8000351,フクオカケン,ミヤコグンカンダマチ,キョウマチ,福岡県,京都郡苅田町,京町
8000305,フクオカケン,ミヤコグンカンダマチ,クウコウミナミマチ,福岡県,京都郡苅田町,空港南町
8000338,フクオカケン,ミヤコグンカンダマチ,クズガワ,福岡県,京都郡苅田町,葛川
8000333,フクオカケン,ミヤコグンカンダマチ,クロゾエ,福岡県,京都郡苅田町,黒添
8000314,フクオカケン,ミヤコグンカンダマチ,サイワイマチ,福岡県,京都郡苅田町,幸町
8000356,フクオカケン,ミヤコグンカンダマチ,コノエガオカ,福岡県,京都郡苅田町,近衛ケ丘
8000357,フクオカケン,ミヤコグンカンダマチ,サクラガオカ,福岡県,京都郡苅田町,桜ケ丘
8000341,フクオカケン,ミヤコグンカンダマチ,シモアラツ,福岡県,京都郡苅田町,下新津
8000342,フクオカケン,ミヤコグンカンダマチ,シモカタシマ,福岡県,京都郡苅田町,下片島
8000361,フクオカケン,ミヤコグンカンダマチ,ジンデンチョウ,福岡県,京都郡苅田町,神田町
8000321,フクオカケン,ミヤコグンカンダマチ,シンハマチョウ,福岡県,京都郡苅田町,新浜町
8000307,フクオカケン,ミヤコグンカンダマチ,シンマツヤマ,福岡県,京都郡苅田町,新松山
8000332,フクオカケン,ミヤコグンカンダマチ,スキザキ,福岡県,京都郡苅田町,鋤崎
8000335,フクオカケン,ミヤコグンカンダマチ,タニ,福岡県,京都郡苅田町,谷
8000312,フクオカケン,ミヤコグンカンダマチ,トノガワチョウ,福岡県,京都郡苅田町,殿川町
8000352,フクオカケン,ミヤコグンカンダマチ,トミヒサチョウ,福岡県,京都郡苅田町,富久町
8000304,フクオカケン,ミヤコグンカンダマチ,トリゴエチョウ,福岡県,京都郡苅田町,鳥越町
8000311,フクオカケン,ミヤコグンカンダマチ,ナガハマチョウ,福岡県,京都郡苅田町,長浜町
8000362,フクオカケン,ミヤコグンカンダマチ,ババ,福岡県,京都郡苅田町,馬場
8000324,フクオカケン,ミヤコグンカンダマチ,ハママチ,福岡県,京都郡苅田町,浜町
8000364,フクオカケン,ミヤコグンカンダマチ,ヒサゲ,福岡県,京都郡苅田町,提
8000322,フクオカケン,ミヤコグンカンダマチ,フタザキ,福岡県,京都郡苅田町,二崎
8000334,フクオカケン,ミヤコグンカンダマチ,ホウショウジ,福岡県,京都郡苅田町,法正寺
8000301,フクオカケン,ミヤコグンカンダマチ,マツバラチョウ,福岡県,京都郡苅田町,松原町
8000303,フクオカケン,ミヤコグンカンダマチ,マツヤマ,福岡県,京都郡苅田町,松山
8000363,フクオカケン,ミヤコグンカンダマチ,ミツクニ,福岡県,京都郡苅田町,光国
8000315,フクオカケン,ミヤコグンカンダマチ,ミナトマチ,福岡県,京都郡苅田町,港町
8000355,フクオカケン,ミヤコグンカンダマチ,ミナミバル,福岡県,京都郡苅田町,南原
8000336,フクオカケン,ミヤコグンカンダマチ,ヤマグチ,福岡県,京都郡苅田町,山口
8000323,フクオカケン,ミヤコグンカンダマチ,ヨバル,福岡県,京都郡苅田町,与原
8000302,フクオカケン,ミヤコグンカンダマチ,ワカヒサチョウ,福岡県,京都郡苅田町,若久町
8000345,フクオカケン,ミヤコグンカンダマチ,オバセ,福岡県,京都郡苅田町,小波瀬
