8570071,ナガサキケン,ナガサキシ,イケシママチ,長崎県,長崎市,池島町
8570044,ナガサキケン,サセボシ,アイオイチョウ,長崎県,佐世保市,相生町
8570000,ナガサキケン,サセボシ,イカニケイサイガナイバアイ,長崎県,佐世保市,以下に掲載がない場合
8570013,ナガサキケン,サセボシ,アカギチョウ,長崎県,佐世保市,赤木町
8570037,ナガサキケン,サセボシ,イシザカチョウ,長崎県,佐世保市,石坂町
8570057,ナガサキケン,サセボシ,イズミチョウ,長崎県,佐世保市,泉町
8570851,ナガサキケン,サセボシ,イナリチョウ,長崎県,佐世保市,稲荷町
8570061,ナガサキケン,サセボシ,イマブクチョウ,長崎県,佐世保市,今福町
8570069,ナガサキケン,サセボシ,ウドゴエチョウ,長崎県,佐世保市,鵜渡越町
8570017,ナガサキケン,サセボシ,ウメダマチ,長崎県,佐世保市,梅田町
8570058,ナガサキケン,サセボシ,ウワマチ,長崎県,佐世保市,上町
8570001,ナガサキケン,サセボシ,エボシチョウ,長崎県,佐世保市,烏帽子町
8570841,ナガサキケン,サセボシ,オオミヤチョウ,長崎県,佐世保市,大宮町
8570065,ナガサキケン,サセボシ,オノチョウ（１２００−１４９９バンチ）,長崎県,佐世保市,小野町（１２００〜１４９９番地）
8570021,ナガサキケン,サセボシ,オリハシチョウ,長崎県,佐世保市,折橋町
8570011,ナガサキケン,サセボシ,カスガチョウ,長崎県,佐世保市,春日町
8570803,ナガサキケン,サセボシ,カツトミチョウ,長崎県,佐世保市,勝富町
8570872,ナガサキケン,サセボシ,カミキョウマチ,長崎県,佐世保市,上京町
8570067,ナガサキケン,サセボシ,カミシマチョウ,長崎県,佐世保市,神島町
8570801,ナガサキケン,サセボシ,ギオンチョウ,長崎県,佐世保市,祇園町
8570874,ナガサキケン,サセボシ,キョウノツボチョウ,長崎県,佐世保市,京坪町
8570025,ナガサキケン,サセボシ,クマノチョウ,長崎県,佐世保市,熊野町
8570805,ナガサキケン,サセボシ,コウゲツチョウ,長崎県,佐世保市,光月町
8570802,ナガサキケン,サセボシ,コウテンチョウ,長崎県,佐世保市,高天町
8570813,ナガサキケン,サセボシ,コサセボチョウ,長崎県,佐世保市,小佐世保町
8570066,ナガサキケン,サセボシ,コジマチョウ,長崎県,佐世保市,小島町
8570041,ナガサキケン,サセボシ,コバタチョウ,長崎県,佐世保市,木場田町
8570062,ナガサキケン,サセボシ,コンピラチョウ,長崎県,佐世保市,金比良町
8570054,ナガサキケン,サセボシ,サカエマチ,長崎県,佐世保市,栄町
