8961281,カゴシマケン,サツマセンダイシ,カミコシキチョウタイラ,鹿児島県,薩摩川内市,上甑町平良
8960000,カゴシマケン,イチキクシキノシ,イカニケイサイガナイバアイ,鹿児島県,いちき串木野市,以下に掲載がない場合
8960061,カゴシマケン,イチキクシキノシ,アイギチョウ,鹿児島県,いちき串木野市,愛木町
8960015,カゴシマケン,イチキクシキノシ,アサヒマチ,鹿児島県,いちき串木野市,旭町
8960065,カゴシマケン,イチキクシキノシ,アラカワ,鹿児島県,いちき串木野市,荒川
8960036,カゴシマケン,イチキクシキノシ,ウラワチョウ,鹿児島県,いちき串木野市,浦和町
8960084,カゴシマケン,イチキクシキノシ,アサヤマ,鹿児島県,いちき串木野市,浅山
8960027,カゴシマケン,イチキクシキノシ,エビスチョウ,鹿児島県,いちき串木野市,恵比須町
8960081,カゴシマケン,イチキクシキノシ,オオゾノ,鹿児島県,いちき串木野市,大薗
8960011,カゴシマケン,イチキクシキノシ,オオハルマチ,鹿児島県,いちき串木野市,大原町
8960002,カゴシマケン,イチキクシキノシ,カスガチョウ,鹿児島県,いちき串木野市,春日町
8960057,カゴシマケン,イチキクシキノシ,カイゼ,鹿児島県,いちき串木野市,海瀬
8960025,カゴシマケン,イチキクシキノシ,オクラチョウ,鹿児島県,いちき串木野市,御倉町
8960079,カゴシマケン,イチキクシキノシ,カワウチ,鹿児島県,いちき串木野市,河内
8960052,カゴシマケン,イチキクシキノシ,カンミョウ,鹿児島県,いちき串木野市,上名
8960051,カゴシマケン,イチキクシキノシ,カンムリダケ,鹿児島県,いちき串木野市,冠嶽
8960075,カゴシマケン,イチキクシキノシ,キンザン,鹿児島県,いちき串木野市,金山
8960074,カゴシマケン,イチキクシキノシ,キンザンシモ,鹿児島県,いちき串木野市,金山下
8960063,カゴシマケン,イチキクシキノシ,クチノマチ,鹿児島県,いちき串木野市,口之町
8960034,カゴシマケン,イチキクシキノシ,コゼチョウ,鹿児島県,いちき串木野市,小瀬町
8960082,カゴシマケン,イチキクシキノシ,コゾノ,鹿児島県,いちき串木野市,小薗
8960013,カゴシマケン,イチキクシキノシ,サカエマチ,鹿児島県,いちき串木野市,栄町
8960016,カゴシマケン,イチキクシキノシ,サクラマチ,鹿児島県,いちき串木野市,桜町
8960072,カゴシマケン,イチキクシキノシ,サツマヤマ,鹿児島県,いちき串木野市,薩摩山
8960004,カゴシマケン,イチキクシキノシ,シオミチョウ,鹿児島県,いちき串木野市,汐見町
8960023,カゴシマケン,イチキクシキノシ,シオヤチョウ,鹿児島県,いちき串木野市,塩屋町
8960026,カゴシマケン,イチキクシキノシ,ショウワドオリ,鹿児島県,いちき串木野市,昭和通
8960021,カゴシマケン,イチキクシキノシ,スミヨシチョウ,鹿児島県,いちき串木野市,住吉町
8960041,カゴシマケン,イチキクシキノシ,キタハマチョウ,鹿児島県,いちき串木野市,北浜町
8960046,カゴシマケン,イチキクシキノシ,セイサツチョウ,鹿児島県,いちき串木野市,西薩町
8960076,カゴシマケン,イチキクシキノシ,セリガノ,鹿児島県,いちき串木野市,芹ケ野
8960078,カゴシマケン,イチキクシキノシ,セイフク,鹿児島県,いちき串木野市,生福
8960017,カゴシマケン,イチキクシキノシ,タカミチョウ,鹿児島県,いちき串木野市,高見町
8960035,カゴシマケン,イチキクシキノシ,シンセイチョウ,鹿児島県,いちき串木野市,新生町
8960033,カゴシマケン,イチキクシキノシ,ナガサキチョウ,鹿児島県,いちき串木野市,長崎町
8960005,カゴシマケン,イチキクシキノシ,ニシエンデンチョウ,鹿児島県,いちき串木野市,西塩田町
8960044,カゴシマケン,イチキクシキノシ,ニシハマチョウ,鹿児島県,いちき串木野市,西浜町
8960032,カゴシマケン,イチキクシキノシ,ニシシマビラチョウ,鹿児島県,いちき串木野市,西島平町
8960066,カゴシマケン,イチキクシキノシ,ノモト,鹿児島県,いちき串木野市,野元
8960073,カゴシマケン,イチキクシキノシ,ノシタ,鹿児島県,いちき串木野市,野下
8960064,カゴシマケン,イチキクシキノシ,ハシマ,鹿児島県,いちき串木野市,羽島
8960058,カゴシマケン,イチキクシキノシ,ハカマダ,鹿児島県,いちき串木野市,袴田
8960062,カゴシマケン,イチキクシキノシ,ハマダチョウ,鹿児島県,いちき串木野市,浜田町
8960069,カゴシマケン,イチキクシキノシ,ハマガジョウ,鹿児島県,いちき串木野市,浜ケ城
8960006,カゴシマケン,イチキクシキノシ,ヒガシエンデンチョウ,鹿児島県,いちき串木野市,東塩田町
8960003,カゴシマケン,イチキクシキノシ,キョウマチ,鹿児島県,いちき串木野市,京町
8960001,カゴシマケン,イチキクシキノシ,アケボノチョウ,鹿児島県,いちき串木野市,曙町
8960054,カゴシマケン,イチキクシキノシ,ヒノデチョウ,鹿児島県,いちき串木野市,日出町
8960071,カゴシマケン,イチキクシキノシ,フカタカミ,鹿児島県,いちき串木野市,深田上
8960077,カゴシマケン,イチキクシキノシ,フカタシモ,鹿児島県,いちき串木野市,深田下
8960083,カゴシマケン,イチキクシキノシ,フモト,鹿児島県,いちき串木野市,麓
8960028,カゴシマケン,イチキクシキノシ,ヒバリガオカ,鹿児島県,いちき串木野市,ひばりが丘
8960012,カゴシマケン,イチキクシキノシ,ナカオチョウ,鹿児島県,いちき串木野市,中尾町
8960031,カゴシマケン,イチキクシキノシ,ヒガシシマビラチョウ,鹿児島県,いちき串木野市,東島平町
8960045,カゴシマケン,イチキクシキノシ,マグロホンマチ,鹿児島県,いちき串木野市,まぐろ本町
8960068,カゴシマケン,イチキクシキノシ,ミツイ,鹿児島県,いちき串木野市,三井
8960067,カゴシマケン,イチキクシキノシ,ヒラエ,鹿児島県,いちき串木野市,平江
8960037,カゴシマケン,イチキクシキノシ,ベップ,鹿児島県,いちき串木野市,別府
8960024,カゴシマケン,イチキクシキノシ,ミスミチョウ,鹿児島県,いちき串木野市,美住町
8960055,カゴシマケン,イチキクシキノシ,テルシマ,鹿児島県,いちき串木野市,照島
8960043,カゴシマケン,イチキクシキノシ,ミナトマチ,鹿児島県,いちき串木野市,港町
8960056,カゴシマケン,イチキクシキノシ,ヤフサ,鹿児島県,いちき串木野市,八房
8960014,カゴシマケン,イチキクシキノシ,モトマチ,鹿児島県,いちき串木野市,元町
8960042,カゴシマケン,イチキクシキノシ,モトハマチョウ,鹿児島県,いちき串木野市,本浜町
8960022,カゴシマケン,イチキクシキノシ,ミドリマチ,鹿児島県,いちき串木野市,緑町
