8992531,カゴシマケン,カゴシマシ,コヤマダチョウ（５１９９、５２００、５２０５バンチ）,鹿児島県,鹿児島市,小山田町（５１９９、５２００、５２０５番地）
8992522,カゴシマケン,ヒオキシ,イジュウインチョウイイムレ,鹿児島県,日置市,伊集院町飯牟礼
8992500,カゴシマケン,ヒオキシ,イカニケイサイガナイバアイ,鹿児島県,日置市,以下に掲載がない場合
8992505,カゴシマケン,ヒオキシ,イジュウインチョウイガクラ,鹿児島県,日置市,伊集院町猪鹿倉
8992521,カゴシマケン,ヒオキシ,イジュウインチョウオオタ（ソノタ）,鹿児島県,日置市,伊集院町大田（その他）
8992512,カゴシマケン,ヒオキシ,イジュウインチョウカミコウドノ,鹿児島県,日置市,伊集院町上神殿
8992506,カゴシマケン,ヒオキシ,イジュウインチョウキヨフジ,鹿児島県,日置市,伊集院町清藤
8992504,カゴシマケン,ヒオキシ,イジュウインチョウコオリ,鹿児島県,日置市,伊集院町郡
8992524,カゴシマケン,ヒオキシ,イジュウインチョウコイノハラ,鹿児島県,日置市,伊集院町恋之原
8992511,カゴシマケン,ヒオキシ,イジュウインチョウシモコウドノ,鹿児島県,日置市,伊集院町下神殿
8992515,カゴシマケン,ヒオキシ,イジュウインチョウタケノヤマ,鹿児島県,日置市,伊集院町竹之山
8992516,カゴシマケン,ヒオキシ,イジュウインチョウツチバシ,鹿児島県,日置市,伊集院町土橋
8992501,カゴシマケン,ヒオキシ,イジュウインチョウシモタニグチ,鹿児島県,日置市,伊集院町下谷口
8992502,カゴシマケン,ヒオキシ,イジュウインチョウトクシゲ,鹿児島県,日置市,伊集院町徳重
8992503,カゴシマケン,ヒオキシ,イジュウインチョウミョウエンジ,鹿児島県,日置市,伊集院町妙円寺
8992523,カゴシマケン,ヒオキシ,イジュウインチョウフルジョウ,鹿児島県,日置市,伊集院町古城
8992513,カゴシマケン,ヒオキシ,イジュウインチョウムギウダ,鹿児島県,日置市,伊集院町麦生田
8992514,カゴシマケン,ヒオキシ,イジュウインチョウナカガワ,鹿児島県,日置市,伊集院町中川
