9590401,ニイガタケン,ニイガタシニシク,ヨヘエノシンデン,新潟県,新潟市西区,與兵衛野新田
9590416,ニイガタケン,ニイガタシニシカンク,ウラムラ,新潟県,新潟市西蒲区,浦村
9590417,ニイガタケン,ニイガタシニシカンク,オオセキ,新潟県,新潟市西蒲区,大関
9590415,ニイガタケン,ニイガタシニシカンク,オオカタ,新潟県,新潟市西蒲区,大潟
9590425,ニイガタケン,ニイガタシニシカンク,オシツケ,新潟県,新潟市西蒲区,押付
9590403,ニイガタケン,ニイガタシニシカンク,カイガラ,新潟県,新潟市西蒲区,貝柄
9590404,ニイガタケン,ニイガタシニシカンク,カイガラシンデン,新潟県,新潟市西蒲区,貝柄新田
9590412,ニイガタケン,ニイガタシニシカンク,クワヤマ,新潟県,新潟市西蒲区,桑山
9590432,ニイガタケン,ニイガタシニシカンク,カワサキ,新潟県,新潟市西蒲区,川崎
9590435,ニイガタケン,ニイガタシニシカンク,サナダ,新潟県,新潟市西蒲区,真田
9590402,ニイガタケン,ニイガタシニシカンク,サンカクノシンデン,新潟県,新潟市西蒲区,三角野新田
9590438,ニイガタケン,ニイガタシニシカンク,シモヤマ,新潟県,新潟市西蒲区,下山
9590411,ニイガタケン,ニイガタシニシカンク,ゼンコウジ,新潟県,新潟市西蒲区,善光寺
9590406,ニイガタケン,ニイガタシニシカンク,ゼンコウジムラウケ,新潟県,新潟市西蒲区,善光寺村受
9590421,ニイガタケン,ニイガタシニシカンク,スズキ,新潟県,新潟市西蒲区,鱸
9590422,ニイガタケン,ニイガタシニシカンク,ソネ,新潟県,新潟市西蒲区,曽根
9590434,ニイガタケン,ニイガタシニシカンク,テンジクドウ,新潟県,新潟市西蒲区,天竺堂
9590437,ニイガタケン,ニイガタシニシカンク,ナカジマ,新潟県,新潟市西蒲区,中島
9590436,ニイガタケン,ニイガタシニシカンク,ニシヨリアゲ,新潟県,新潟市西蒲区,西汰上
9590423,ニイガタケン,ニイガタシニシカンク,ハタヤ,新潟県,新潟市西蒲区,旗屋
9590407,ニイガタケン,ニイガタシニシカンク,ハタヤムラウケ,新潟県,新潟市西蒲区,旗屋村受
9590414,ニイガタケン,ニイガタシニシカンク,ヒョウウエモンシンデン,新潟県,新潟市西蒲区,兵右衛門新田
9590431,ニイガタケン,ニイガタシニシカンク,ヒラノ,新潟県,新潟市西蒲区,平野
9590405,ニイガタケン,ニイガタシニシカンク,ホリアゲシンデン,新潟県,新潟市西蒲区,堀上新田
9590433,ニイガタケン,ニイガタシニシカンク,マキジマ,新潟県,新潟市西蒲区,槇島
9590418,ニイガタケン,ニイガタシニシカンク,マスオカ,新潟県,新潟市西蒲区,升岡
9590413,ニイガタケン,ニイガタシニシカンク,マスガタ,新潟県,新潟市西蒲区,升潟
9590424,ニイガタケン,ニイガタシニシカンク,マツサキ,新潟県,新潟市西蒲区,松崎
9590426,ニイガタケン,ニイガタシニシカンク,ヤジマ,新潟県,新潟市西蒲区,矢島
9590401,ニイガタケン,ニイガタシニシカンク,ヨヘエノシンデン,新潟県,新潟市西蒲区,與兵衛野新田
