9592381,ニイガタケン,シバタシ,タキザワ,新潟県,新発田市,滝沢
9592000,ニイガタケン,アガノシ,イカニケイサイガナイバアイ,新潟県,阿賀野市,以下に掲載がない場合
9592003,ニイガタケン,アガノシ,アンノチョウ,新潟県,阿賀野市,安野町
9591955,ニイガタケン,アガノシ,アカミズ,新潟県,阿賀野市,赤水
9591902,ニイガタケン,アガノシ,イイヤマシン,新潟県,阿賀野市,飯山新
9592035,ニイガタケン,アガノシ,イナリチョウ,新潟県,阿賀野市,稲荷町
9591959,ニイガタケン,アガノシ,イズミ,新潟県,阿賀野市,泉
9592062,ニイガタケン,アガノシ,イチノヤマ,新潟県,阿賀野市,市野山
9592123,ニイガタケン,アガノシ,ウバガハシ,新潟県,阿賀野市,姥ケ橋
9591974,ニイガタケン,アガノシ,エノキ,新潟県,阿賀野市,榎
9591968,ニイガタケン,アガノシ,エノキフナト,新潟県,阿賀野市,榎船渡
9591935,ニイガタケン,アガノシ,オオムロ,新潟県,阿賀野市,大室
9592043,ニイガタケン,アガノシ,オオヤチ,新潟県,阿賀野市,大野地
9592025,ニイガタケン,アガノシ,オカヤマチョウ,新潟県,阿賀野市,岡山町
9591964,ニイガタケン,アガノシ,オキ,新潟県,阿賀野市,沖
9591975,ニイガタケン,アガノシ,オギシマ,新潟県,阿賀野市,荻島
9592001,ニイガタケン,アガノシ,オキドオリ,新潟県,阿賀野市,沖通
9591977,ニイガタケン,アガノシ,オキノタテ,新潟県,阿賀野市,沖ノ館
9592121,ニイガタケン,アガノシ,オサト,新潟県,阿賀野市,小里
9591921,ニイガタケン,アガノシ,オリイ,新潟県,阿賀野市,折居
9591946,ニイガタケン,アガノシ,オシキリ,新潟県,阿賀野市,押切
9591914,ニイガタケン,アガノシ,オンナドウ,新潟県,阿賀野市,女堂
9591938,ニイガタケン,アガノシ,カイバミ,新潟県,阿賀野市,貝喰
9592122,ニイガタケン,アガノシ,イイモリスギ,新潟県,阿賀野市,飯森杉
9592147,ニイガタケン,アガノシ,カスジマ,新潟県,阿賀野市,粕島
9592032,ニイガタケン,アガノシ,ガッコウチョウ,新潟県,阿賀野市,学校町
9591923,ニイガタケン,アガノシ,カツヤ,新潟県,阿賀野市,勝屋
9591927,ニイガタケン,アガノシ,イマイタ,新潟県,阿賀野市,今板
9591944,ニイガタケン,アガノシ,カナヤ,新潟県,阿賀野市,金屋
9592031,ニイガタケン,アガノシ,カネダチョウ,新潟県,阿賀野市,金田町
9591915,ニイガタケン,アガノシ,カミイチブ,新潟県,阿賀野市,上一分
9592105,ニイガタケン,アガノシ,カネブチオツ,新潟県,阿賀野市,金渕乙
9592103,ニイガタケン,アガノシ,カネブチコウ,新潟県,阿賀野市,金渕甲
9592148,ニイガタケン,アガノシ,カセジマ,新潟県,阿賀野市,嘉瀬島
9591942,ニイガタケン,アガノシ,カミサカマチ,新潟県,阿賀野市,上坂町
9592061,ニイガタケン,アガノシ,アラヤ,新潟県,阿賀野市,荒屋
9591908,ニイガタケン,アガノシ,カミクラノ,新潟県,阿賀野市,上蔵野
9591933,ニイガタケン,アガノシ,カミコナカヤマ,新潟県,阿賀野市,上小中山
9591975,ニイガタケン,アガノシ,カミイイヅカ,新潟県,阿賀野市,上飯塚
9592048,ニイガタケン,アガノシ,カミナカノメ,新潟県,阿賀野市,上中野目
9591909,ニイガタケン,アガノシ,カミタカセキ,新潟県,阿賀野市,上高関
9592047,ニイガタケン,アガノシ,カミナカ,新潟県,阿賀野市,上中
9591973,ニイガタケン,アガノシ,カミタカダ,新潟県,阿賀野市,上高田
9592044,ニイガタケン,アガノシ,カナザワ,新潟県,阿賀野市,金沢
9591945,ニイガタケン,アガノシ,カミヤマヤ,新潟県,阿賀野市,上山屋
9591921,ニイガタケン,アガノシ,カミニシヤマ,新潟県,阿賀野市,上西山
9591932,ニイガタケン,アガノシ,カミヤマダ,新潟県,阿賀野市,上山田
9592143,ニイガタケン,アガノシ,カワマエ,新潟県,阿賀野市,川前
9592116,ニイガタケン,アガノシ,カミクロセ,新潟県,阿賀野市,上黒瀬
9591904,ニイガタケン,アガノシ,カミニシノ,新潟県,阿賀野市,上西野
9592015,ニイガタケン,アガノシ,キタホンチョウ,新潟県,阿賀野市,北本町
9592136,ニイガタケン,アガノシ,キョウガセコウギョウダンチ,新潟県,阿賀野市,京ケ瀬工業団地
9591907,ニイガタケン,アガノシ,クマドウ,新潟県,阿賀野市,熊堂
9591962,ニイガタケン,アガノシ,カミセキグチ,新潟県,阿賀野市,上関口
9592026,ニイガタケン,アガノシ,ゲジョウチョウ,新潟県,阿賀野市,下条町
9592014,ニイガタケン,アガノシ,キタゾノチョウ,新潟県,阿賀野市,北園町
9592125,ニイガタケン,アガノシ,キョウガシマ,新潟県,阿賀野市,京ケ島
9591916,ニイガタケン,アガノシ,コグリヤマ,新潟県,阿賀野市,小栗山
9592002,ニイガタケン,アガノシ,ゲジョウ,新潟県,阿賀野市,下条
9592134,ニイガタケン,アガノシ,コガワラ,新潟県,阿賀野市,小河原
9592126,ニイガタケン,アガノシ,クボガワラ,新潟県,阿賀野市,窪川原
9592065,ニイガタケン,アガノシ,コザカイ,新潟県,阿賀野市,小境
9592146,ニイガタケン,アガノシ,コジマ,新潟県,阿賀野市,小島
9592054,ニイガタケン,アガノシ,コシミドウ,新潟県,阿賀野市,越御堂
9592101,ニイガタケン,アガノシ,コマバヤシ,新潟県,阿賀野市,駒林
9592102,ニイガタケン,アガノシ,ゴロウマキ,新潟県,阿賀野市,五郎巻
9592053,ニイガタケン,アガノシ,サカイシン,新潟県,阿賀野市,境新
9592042,ニイガタケン,アガノシ,サカイシンデン,新潟県,阿賀野市,境新田
9592135,ニイガタケン,アガノシ,サガリ,新潟県,阿賀野市,下里
9591918,ニイガタケン,アガノシ,ササオカ,新潟県,阿賀野市,笹岡
9592045,ニイガタケン,アガノシ,サト,新潟県,阿賀野市,里
9591913,ニイガタケン,アガノシ,サワグチ,新潟県,阿賀野市,沢口
9592145,ニイガタケン,アガノシ,ジシャシン,新潟県,阿賀野市,寺社新
9592051,ニイガタケン,アガノシ,シチコク,新潟県,阿賀野市,七石
9591965,ニイガタケン,アガノシ,シマダ,新潟県,阿賀野市,島田
9591912,ニイガタケン,アガノシ,シモイチブ,新潟県,阿賀野市,下一分
9592117,ニイガタケン,アガノシ,シモクロセ,新潟県,阿賀野市,下黒瀬
9592124,ニイガタケン,アガノシ,シモノハシ,新潟県,阿賀野市,下ノ橋
9591951,ニイガタケン,アガノシ,シモフクオカ,新潟県,阿賀野市,下福岡
9591952,ニイガタケン,アガノシ,シモヤマヤ,新潟県,阿賀野市,下山屋
9591936,ニイガタケン,アガノシ,ジュウニシン,新潟県,阿賀野市,十二神
9592114,ニイガタケン,アガノシ,ジョウ,新潟県,阿賀野市,城
9592046,ニイガタケン,アガノシ,ショウガミヤ,新潟県,阿賀野市,庄ケ宮
9591925,ニイガタケン,アガノシ,シンコウジヴィレッジ,新潟県,阿賀野市,真光寺ヴィレッジ
9592013,ニイガタケン,アガノシ,スイバラ,新潟県,阿賀野市,水原
9591956,ニイガタケン,アガノシ,スバシリ,新潟県,阿賀野市,須走
9592144,ニイガタケン,アガノシ,セイノ,新潟県,阿賀野市,清野
9592133,ニイガタケン,アガノシ,セキヤ,新潟県,阿賀野市,関屋
9591929,ニイガタケン,アガノシ,ダイニチ,新潟県,阿賀野市,大日
9592112,ニイガタケン,アガノシ,ソウゴウ,新潟県,阿賀野市,曽郷
9591971,ニイガタケン,アガノシ,タカダ,新潟県,阿賀野市,高田
9592052,ニイガタケン,アガノシ,タナカ,新潟県,阿賀野市,田中
9591905,ニイガタケン,アガノシ,タキサワ,新潟県,阿賀野市,滝沢
9592115,ニイガタケン,アガノシ,タヤマ,新潟県,阿賀野市,田山
9592021,ニイガタケン,アガノシ,チュウオウチョウ,新潟県,阿賀野市,中央町
9591966,ニイガタケン,アガノシ,ツカダ,新潟県,阿賀野市,塚田
9592131,ニイガタケン,アガノシ,ツキザキ,新潟県,阿賀野市,月崎
9591917,ニイガタケン,アガノシ,ツツミ,新潟県,阿賀野市,堤
9592011,ニイガタケン,アガノシ,チワラ,新潟県,阿賀野市,千原
9591926,ニイガタケン,アガノシ,デユ,新潟県,阿賀野市,出湯
9592012,ニイガタケン,アガノシ,テンジンドウ,新潟県,阿賀野市,天神堂
9592063,ニイガタケン,アガノシ,ドバシ,新潟県,阿賀野市,土橋
9592066,ニイガタケン,アガノシ,ナカガタ,新潟県,阿賀野市,中潟
9592024,ニイガタケン,アガノシ,ナカジマ,新潟県,阿賀野市,中島
9591901,ニイガタケン,アガノシ,ナカノトオリ,新潟県,阿賀野市,中ノ通
9591934,ニイガタケン,アガノシ,ナナウラ,新潟県,阿賀野市,七浦
9592141,ニイガタケン,アガノシ,ナナシマ,新潟県,阿賀野市,七島
9592024,ニイガタケン,アガノシ,ナカジマチョウ,新潟県,阿賀野市,中島町
9592111,ニイガタケン,アガノシ,ネコヤマ,新潟県,阿賀野市,猫山
9591958,ニイガタケン,アガノシ,ノムラ,新潟県,阿賀野市,野村
9591941,ニイガタケン,アガノシ,ハグロ,新潟県,阿賀野市,羽黒
9592142,ニイガタケン,アガノシ,ハシキメン,新潟県,阿賀野市,箸木免
9591924,ニイガタケン,アガノシ,ハタエ,新潟県,阿賀野市,畑江
9592041,ニイガタケン,アガノシ,ハラ,新潟県,阿賀野市,原
9592023,ニイガタケン,アガノシ,ヒノデチョウ,新潟県,阿賀野市,日の出町
9592107,ニイガタケン,アガノシ,フカホリ,新潟県,阿賀野市,深堀
9591937,ニイガタケン,アガノシ,フクイ,新潟県,阿賀野市,福井
9592049,ニイガタケン,アガノシ,フカマチ,新潟県,阿賀野市,深町
9592064,ニイガタケン,アガノシ,フクダ,新潟県,阿賀野市,福田
9591903,ニイガタケン,アガノシ,フジヤ,新潟県,阿賀野市,藤屋
9591976,ニイガタケン,アガノシ,フナイ,新潟県,阿賀野市,船居
9592104,ニイガタケン,アガノシ,ホウヤギシンデン,新潟県,阿賀野市,法柳新田
9592106,ニイガタケン,アガノシ,ホウヤギ,新潟県,阿賀野市,法柳
9592055,ニイガタケン,アガノシ,ホリコシ,新潟県,阿賀野市,堀越
9591953,ニイガタケン,アガノシ,ホッキュウ,新潟県,阿賀野市,発久
9591954,ニイガタケン,アガノシ,マイタ,新潟県,阿賀野市,蒔田
9592132,ニイガタケン,アガノシ,マエヤマ,新潟県,阿賀野市,前山
9592056,ニイガタケン,アガノシ,マキシマ,新潟県,阿賀野市,牧島
9591967,ニイガタケン,アガノシ,ホンミョウ,新潟県,阿賀野市,本明
9592113,ニイガタケン,アガノシ,ミドリオカ,新潟県,阿賀野市,緑岡
9592004,ニイガタケン,アガノシ,ミナミアンノチョウ,新潟県,阿賀野市,南安野町
9592034,ニイガタケン,アガノシ,ミドリチョウ,新潟県,阿賀野市,緑町
9591948,ニイガタケン,アガノシ,ミヤジマ,新潟県,阿賀野市,宮島
9591947,ニイガタケン,アガノシ,ミヤノシタ,新潟県,阿賀野市,宮下
9592130,ニイガタケン,アガノシ,ムイカノ,新潟県,阿賀野市,六日野
9591963,ニイガタケン,アガノシ,ミナミオキヤマ,新潟県,阿賀野市,南沖山
9591906,ニイガタケン,アガノシ,ムラオカ,新潟県,阿賀野市,村岡
9591928,ニイガタケン,アガノシ,ムラスギ,新潟県,阿賀野市,村杉
9592033,ニイガタケン,アガノシ,モモヅチョウ,新潟県,阿賀野市,百津町
9592007,ニイガタケン,アガノシ,ヤマグチ,新潟県,阿賀野市,山口
9592005,ニイガタケン,アガノシ,ヤマグチチョウ,新潟県,阿賀野市,山口町
9591961,ニイガタケン,アガノシ,ヤマクラ,新潟県,阿賀野市,山倉
9591972,ニイガタケン,アガノシ,ヤマクラシンデン,新潟県,阿賀野市,山倉新田
9591919,ニイガタケン,アガノシ,ヤマザキ,新潟県,阿賀野市,山崎
9591931,ニイガタケン,アガノシ,ヤマデラ,新潟県,阿賀野市,山寺
9592057,ニイガタケン,アガノシ,ヤチジョウ,新潟県,阿賀野市,野地城
9591957,ニイガタケン,アガノシ,ヨコヤマ,新潟県,阿賀野市,横山
9591922,ニイガタケン,アガノシ,ユサワ,新潟県,阿賀野市,湯沢
9592036,ニイガタケン,アガノシ,ワカバチョウ,新潟県,阿賀野市,若葉町
9592006,ニイガタケン,アガノシ,ミソラノチョウ,新潟県,阿賀野市,みそら野町
9592037,ニイガタケン,アガノシ,モモヅ,新潟県,阿賀野市,百津
9591943,ニイガタケン,アガノシ,ジロウマル,新潟県,阿賀野市,次郎丸
9591911,ニイガタケン,アガノシ,ナガオキ,新潟県,阿賀野市,長起
9592022,ニイガタケン,アガノシ,トジョウチョウ,新潟県,阿賀野市,外城町
