9850901,ミヤギケン,センダイシミヤギノク,ミナト（５チョウメ）,宮城県,仙台市宮城野区,港（５丁目）
9850000,ミヤギケン,シオガマシ,イカニケイサイガナイバアイ,宮城県,塩竈市,以下に掲載がない場合
9850055,ミヤギケン,シオガマシ,アカサカ,宮城県,塩竈市,赤坂
9850026,ミヤギケン,シオガマシ,アサヒチョウ,宮城県,塩竈市,旭町
9850081,ミヤギケン,シオガマシ,イシダ,宮城県,塩竈市,石田
9850012,ミヤギケン,シオガマシ,アシグロチョウ,宮城県,塩竈市,芦畔町
9850062,ミヤギケン,シオガマシ,イズミサワチョウ,宮城県,塩竈市,泉沢町
9850056,ミヤギケン,シオガマシ,イズミガオカ,宮城県,塩竈市,泉ケ岡
9850031,ミヤギケン,シオガマシ,イシドウ,宮城県,塩竈市,石堂
9850074,ミヤギケン,シオガマシ,イチモリヤマ,宮城県,塩竈市,一森山
9850087,ミヤギケン,シオガマシ,イボイシ,宮城県,塩竈市,伊保石
9850077,ミヤギケン,シオガマシ,ウメノミヤ,宮城県,塩竈市,梅の宮
9850075,ミヤギケン,シオガマシ,イマミヤチョウ,宮城県,塩竈市,今宮町
9850046,ミヤギケン,シオガマシ,オオヒナタチョウ,宮城県,塩竈市,大日向町
9850002,ミヤギケン,シオガマシ,カイガンドオリ,宮城県,塩竈市,海岸通
9850085,ミヤギケン,シオガマシ,カノエヅカ,宮城県,塩竈市,庚塚
9850084,ミヤギケン,シオガマシ,カエデチョウ,宮城県,塩竈市,楓町
9850003,ミヤギケン,シオガマシ,キタハマ,宮城県,塩竈市,北浜
9850054,ミヤギケン,シオガマシ,コウヅマチ,宮城県,塩竈市,香津町
9850013,ミヤギケン,シオガマシ,ギュウチョウ,宮城県,塩竈市,牛生町
9850067,ミヤギケン,シオガマシ,コウラクチョウ,宮城県,塩竈市,後楽町
9850072,ミヤギケン,シオガマシ,コマツザキ,宮城県,塩竈市,小松崎
9850064,ミヤギケン,シオガマシ,ゴンゲンドウ,宮城県,塩竈市,権現堂
9850025,ミヤギケン,シオガマシ,サウラチョウ,宮城県,塩竈市,佐浦町
9850063,ミヤギケン,シオガマシ,サカエチョウ,宮城県,塩竈市,栄町
9850083,ミヤギケン,シオガマシ,コシノウラ,宮城県,塩竈市,越ノ浦
9850033,ミヤギケン,シオガマシ,サクラガオカ,宮城県,塩竈市,桜ケ丘
9850061,ミヤギケン,シオガマシ,シミズサワ,宮城県,塩竈市,清水沢
9850041,ミヤギケン,シオガマシ,シラギクチョウ,宮城県,塩竈市,白菊町
9850071,ミヤギケン,シオガマシ,ショウヨウダイ,宮城県,塩竈市,松陽台
9850032,ミヤギケン,シオガマシ,シラハギチョウ,宮城県,塩竈市,白萩町
9850022,ミヤギケン,シオガマシ,シントミチョウ,宮城県,塩竈市,新富町
9850021,ミヤギケン,シオガマシ,オジマチョウ,宮城県,塩竈市,尾島町
9850082,ミヤギケン,シオガマシ,アオバガオカ,宮城県,塩竈市,青葉ケ丘
9850001,ミヤギケン,シオガマシ,シンハマチョウ,宮城県,塩竈市,新浜町
9850086,ミヤギケン,シオガマシ,チガノダイ,宮城県,塩竈市,千賀の台
9850011,ミヤギケン,シオガマシ,テイザンドオリ,宮城県,塩竈市,貞山通
9850015,ミヤギケン,シオガマシ,ナカノシマ,宮城県,塩竈市,中の島
9850005,ミヤギケン,シオガマシ,スギノイリ,宮城県,塩竈市,杉の入
9850066,ミヤギケン,シオガマシ,ツキミガオカ,宮城県,塩竈市,月見ケ丘
9850088,ミヤギケン,シオガマシ,ナガサワ,宮城県,塩竈市,長沢
9850045,ミヤギケン,シオガマシ,ニシタマガワチョウ,宮城県,塩竈市,西玉川町
9850024,ミヤギケン,シオガマシ,ニシキチョウ,宮城県,塩竈市,錦町
9850057,ミヤギケン,シオガマシ,ニシマチ,宮城県,塩竈市,西町
9850076,ミヤギケン,シオガマシ,ナガサワチョウ,宮城県,塩竈市,長沢町
9850023,ミヤギケン,シオガマシ,ハナダテチョウ,宮城県,塩竈市,花立町
9850035,ミヤギケン,シオガマシ,ノダ,宮城県,塩竈市,野田
9850004,ミヤギケン,シオガマシ,フジクラ,宮城県,塩竈市,藤倉
9850036,ミヤギケン,シオガマシ,ヒガシタマガワチョウ,宮城県,塩竈市,東玉川町
9850044,ミヤギケン,シオガマシ,ハハコザワチョウ,宮城県,塩竈市,母子沢町
9850006,ミヤギケン,シオガマシ,スギノイリウラ,宮城県,塩竈市,杉の入裏
9850053,ミヤギケン,シオガマシ,ミナミマチ,宮城県,塩竈市,南町
9850014,ミヤギケン,シオガマシ,フナイリ,宮城県,塩竈市,舟入
